"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","BE(PPM)","F(PPM)","AR40(CCMSTP/G)","CA(PPM)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM): altern. values or methods","","","","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPB)","PD(PPB)","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","IR(PPB)","PT(PPB)","AU(PPB)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND_INI","SM147_ND144","SR87_SR86","SR87_SR86_INI","EPSILON_SR_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","U238_PB204","D18O(PER MIL)","AGE(KA)","AGE(MA)",
"1997"," [1577] CAROFF M. (1997)","samp. TB-131","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","41","3.29","13","","14.95","","","","14","7","0.22","","1.1","3.8","0.62","","","","","","","","","","1.29","","","","","","","29","","110","52","89","","","","28.5","810","32","ICPAES","","","300","97","","","","","","450","ICPAES","","","75","ICPAES","","","145","ICPAES","","","","65","ICPAES","","","","3.5","","","6.9","","2.8","","2.1","","","","","","","","","","","","8.7","","","","","","","","","","","","","","","","",
"1997"," [1577] CAROFF M. (1997)","samp. TB-124","","AUSTRAL-COOK ISLANDS / TUBUAI / TAITAA","","-23.39","-149.47","-23.39","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","40.25","3.5","12.8","","16","","","","13","7.5","0.23","","1.42","4.6","0.74","","","","","","","","","","0.4","","","","","","","19","","112","50","80","","","","38","960","31.5","ICPAES","","","310","109","","","","","","465","ICPAES","","","82","ICPAES","","","166","ICPAES","","","","77","ICPAES","","","","4","","","7.4","","2.8","","1.9","","","","","","","","","","","","10","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 7","","TRINDADE-VITORIA RISE / TRINDADE","DIKE, NORTHCOAST OF PORTUGUESES BAY","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, OLIVINE","HOLOCRYSTALLINE","","","","","","","","WHOLE ROCK","","","","38.8","3.6","14.53","","","5.88","","7.97","11.6","6.44","0.2","","0.61","5.42","1.23","","2.35","1.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 8","","TRINDADE-VITORIA RISE / TRINDADE","DIKE, SCARP TOI SOUTHWEST OF HILL 345","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","MASSIVE, QUASI-APHANITIC, HOLOCRYSTALLINE, MICROPHYRIC","","","","","","","","WHOLE ROCK","","","","39","2.5","16.05","","","5.95","","5.38","9.92","5.71","0.15","","1.32","4.19","0.78","","2.75","3.85","","","","0.3","0.04","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 9","","TRINDADE-VITORIA RISE / TRINDADE","DIKE, CENTRAL PLATEAU, BEFORE MONUMENTO","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","MASSIVE, QUASI-APHANITIC, HOLOCRYSTALLINE, MICROPHYRIC","","","","","","","","WHOLE ROCK","","","","40.6","3.3","17.03","","","4.99","","6.03","9.8","5.28","0.2","","0.71","5.23","0.67","","3.15","2.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 18","","TRINDADE-VITORIA RISE / TRINDADE","WEST SLOPE OF MORRO DESEJADO","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","MASSIVE, APHANITIC, MICROPHYRIC","","","","","","","","WHOLE ROCK","","","","49.4","0.8","21.16","","","3.29","","1.58","3.52","1.52","0.15","","2.75","8.16","0.25","","2.3","3.1","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 3","","CAMEROON LINE / SAO TOME","","0.42","6.58","0.42","6.58","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","55.82","0.9","20.74","","","1.91","","1.95","2.62","0.63","0.14","","4.99","8.81","0.14","","0.89","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 4","","CAMEROON LINE / SAO TOME","","0.42","6.58","0.42","6.58","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE","","","","","","","","","WHOLE ROCK","","","","56.16","0.88","20.36","","","2.04","","1.79","2.3","1.01","0.12","","5.79","7.8","0.1","","0.98","0.41","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1995 "," [2977] BASU A. R.(1995)  [GeoReM [229] ]","samp. 3005/10","","SIBERIAN TRAPS / PUTORANA REGION","MAIMECHA-KOTUI REGION, MAIMECHA RIVER BASIN","72","101","72","101","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, NEPHELINE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.93","1761.9","","","","","","","","","","","","","","","","","","","","","","","","","122.67","ICPMS","","","18.56","","","","","","","","","","","","","","","","","","","","","","0.512546","","","0.0915","0.704598","","","0.0897","","","","","","","",
"1984"," [4435] ONUMA N. (1984)","samp. CV-03","","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU","S OF PUJRO","-15.6083","-71.86","-15.6083","-71.86","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANALCIMITE, NEPHELINE","","","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26900","","","","","","","","","","635","","","","","","","","","","","","961","ICPAES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
