Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);HFO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);V2O3(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);FET(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);AS2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);OH(WT%);SO3(WT%);S(WT%);LOI(WT%);TI(WT%);CA(WT%);K(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);;;;AR40(CCMSTP/G);;;;AR40(MOL/G);;;;AR40(PPB);K(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM);;;;CO(PPM);;;;NI(PPM);;;;CU(PPM);;;;ZN(PPM);;;;GA(PPM);;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM);;;;;;SR(PPM);;;;;;Y(PPM);;;;ZR(PPM);;;;NB(PPM);;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM): altern. values or methods;;;;TE(PPM);CS(PPM): altern. values or methods;;;;BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM): altern. values or methods;;;;TB(PPM): altern. values or methods;;;;DY(PPM): altern. values or methods;;;;HO(PPM);ER(PPM): altern. values or methods;;;;TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM): altern. values or methods;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;AR40_AR36_INI;PB206_U238;PB207_U235;RA226_TH230_ACT;PA231_U235_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;D7LI(VS LSVEC);D13C(VS PDB);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS VCDT);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);MAGNESIOFERRITE(MOL%);MONTICELLITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);PICROCHROMITE(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;AGE_PB207_U235(MA);AGE_PB206_U238(MA);
1985;[12383] MARCELOT G. (1985);samp. RW48;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / KARISIMBI;RWANDA;-1.52;29.43;-1.52;29.43;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;30000;90000;PLEISTOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);MICA;;GROUNDMASS;;PRIMARY;;;;;36.36;3.92;;;;11.3;;;;;;;;;;11.52;;;;18.02;0.17;;;;;;10.16;EMP (EPMA);;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[12383] MARCELOT G. (1985);samp. RW48;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / KARISIMBI;RWANDA;-1.52;29.43;-1.52;29.43;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;30000;90000;PLEISTOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;;PHENOCRYST;CORE;PRIMARY;;;;;48.92;0.05;;;;31.6;;;;;;;;;;0.36;;;13.89;;;;;;;;0.37;EMP (EPMA);;;2.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.4;71.3;;;;;;;;;;;;;2.3;;;;;;;;;;;;;;;;;;;;
1985;[12383] MARCELOT G. (1985);samp. RW48;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / KARISIMBI;RWANDA;-1.52;29.43;-1.52;29.43;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;30000;90000;PLEISTOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;;GROUNDMASS;;PRIMARY;;;;;55.41;0.08;;;;27.55;;;;;;;;;;0.57;;;8.76;;;;;;;;1.41;EMP (EPMA);;;5.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.5;44.1;;;;;;;;;;;;;8.4;;;;;;;;;;;;;;;;;;;;
1985;[12383] MARCELOT G. (1985);samp. RW48;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / KARISIMBI;RWANDA;-1.52;29.43;-1.52;29.43;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;30000;90000;PLEISTOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);(AL)KALIFELDSPAR;;GROUNDMASS;;PRIMARY;;;;;63.29;0.14;;;;19.05;;;;;;;;;;0.37;;;0.63;;;;;;;;10.48;EMP (EPMA);;;4.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.2;2.9;;;;;;;;;;;;;56.9;;;;;;;;;;;;;;;;;;;;
2001;[12508] DONGMO A. K. (2001);samp. EB-2;;MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / SOUTHERN CAMEROON LINE / MOUNT MANENGOUBA;EBOGA;5.03;9.83;5.03;9.83;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;QUATERNARY;;;;;;;WHOLE ROCK;;;;;;;;;;60.82;0.88;;;;16.98;;;;;;;;5.8;;;;;2.61;0.93;0.12;;;;;;4.06;ICPAES;;;6.46;0.26;;;;;;;;;;;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;ICPMS;;;1;ICPMS;;;3.37;ICPMS;;;2;ICPMS;;;;;;;;;;;;;;;;;;;123.63;ICPMS;;;;;396;ICPMS;;;;;49.69;ICPMS;;;615;ICPMS;;;113.57;ICPMS;;;;;;;;;;;;;;;;;1080;ICPMS;;;98.38;ICPMS;;;186.73;ICPMS;;;19.41;76;ICPMS;;;;;13.91;ICPMS;;;3.65;ICPMS;;;11.64;ICPMS;;;1.71;ICPMS;;;9.48;ICPMS;;;;4.54;ICPMS;;;;4.5;ICPMS;;;0.68;13.93;8.09;;;;;;;;;;;;;;15.99;ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-019;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;NORTHERN ANDAGUA, N CERRO MAURAS N, CINDER CONE;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;58.366;1.011;;;;16.765;;;;;;;;6.192;;;;;5.537;2.736;0.087;;;;;;3.022;XRF;;;5.12;0.604;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;139;XRF;;;36;XRF;;;14;XRF;;;21;XRF;;;60;XRF;;;105;XRF;;;23;XRF;;;;;;;78;XRF;;;;;1178;XRF;;;;;14.8;XRF;;;279;XRF;;;13.1;XRF;;;;;;;;;;;;;;;;;1719;XRF;;;67;XRF;;;128;XRF;;;;55;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;XRF;;;;;;5;XRF;;;;;;;0.512475;;;;;0.705981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-045;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;NORTHERN ANDAGUA S, CERRO TISCO, CINDER CONE;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;58.504;1.125;;;;16.785;;;;;;;;6.144;;;;;5.393;2.502;0.079;;;;;;2.699;XRF;;;5.01;0.596;;;;;;;;;;;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;9;XRF;;;;146;XRF;;;26;XRF;;;14;XRF;;;19;XRF;;;71;XRF;;;111;XRF;;;25;XRF;;;;;;;54;XRF;;;;;1177;XRF;;;;;13.2;XRF;;;241;XRF;;;10.9;XRF;;;;;;;;;;;;;;;;;1534;XRF;;;53;XRF;;;106;XRF;;;;50;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;XRF;;;;;;5;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-016;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;NORTHERN ANDAGUA S, CERRO YANAMAURAS S, CINDER CONE;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;58.119;1.173;;;;16.698;;;;;;;;6.286;;;;;5.673;2.632;0.079;;;;;;2.633;XRF;;;4.91;0.624;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;151;XRF;;;28;XRF;;;15;XRF;;;19;XRF;;;76;XRF;;;106;XRF;;;24;XRF;;;;;;;48;XRF;;;;;1247;XRF;;;;;12.5;XRF;;;224;XRF;;;9.8;XRF;;;;;;;;;;;;;;;;;1493;XRF;;;53;XRF;;;28;XRF;;;;50;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;XRF;;;;;;3;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-102;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;NORTHERN ANDAGUA S, CERRO YANAMAURAS S, CINDER CONE;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;56.444;1.332;;;;16.883;;;;;;;;6.926;;;;;6.535;3.359;0.088;;;;;;2.178;XRF;;;4.74;0.583;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;174;XRF;;;65;XRF;;;19;XRF;;;35;XRF;;;61;XRF;;;104;XRF;;;24;XRF;;;;;;;34;XRF;;;;;1244;XRF;;;;;13;XRF;;;183;XRF;;;8;XRF;;;;;;;;;;;;;;;;;1276;XRF;;;41;XRF;;;84;XRF;;;;43;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;;;3;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-149;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO UCHUY, CINDER CONE;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;56.697;1.298;;;;17.641;;;;;;;;6.683;;;;;6.195;2.972;0.086;;;;;;2.129;XRF;;;4.4;0.524;;;;;;;;;;;;0.88;;;;;;;;;;;;;;;;;;;;;;;;;13;XRF;;;;170;XRF;;;33;XRF;;;17;XRF;;;25;XRF;;;71;XRF;;;97;XRF;;;24;XRF;;;;;;;34;XRF;;;;;1118;XRF;;;;;12.8;XRF;;;191;XRF;;;8;XRF;;;;;;;;;;;;;;;;;1186;XRF;;;38;XRF;;;84;XRF;;;;44;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;XRF;;;;;;4;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-148;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO JATUN, OLD DEGRADE CINDER CONE;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;56.543;1.281;;;;17.021;;;;;;;;7.228;;;;;6.686;3.66;0.09;;;;;;1.882;XRF;;;4.26;0.418;;;;;;;;;;;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;178;XRF;;;79;XRF;;;19;XRF;;;43;XRF;;;70;XRF;;;103;XRF;;;25;XRF;;;;;;;31;XRF;;;;;925;XRF;;;;;11.8;XRF;;;145;XRF;;;6.1;XRF;;;;;;;;;;;;;;;;;787;XRF;;;22;XRF;;;52;XRF;;;;32;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;XRF;;;;;;2;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-025;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO SOPORO, CINDER CONE WITH SMALL LAVA;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;56.698;1.26;;;;17.033;;;;;;;;6.873;;;;;6.322;3.051;0.085;;;;;;2.227;XRF;;;4.66;0.549;;;;;;;;;;;;0.47;;;;;;;;;;;;;;;;;;;;;;;;;10;XRF;;;;157;XRF;;;40;XRF;;;18;XRF;;;28;XRF;;;73;XRF;;;104;XRF;;;25;XRF;;;;;;;34;XRF;;;;;1166;XRF;;;;;12.9;XRF;;;183;XRF;;;7.3;XRF;;;;;;;;;;;;;;;;;1165;XRF;;;40;XRF;;;83;XRF;;;;43;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;;;4;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-026;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, ANTAYMARCA, CINDER CONE WITH RELATED LAVA FLOW;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;58.473;1.129;;;;16.875;;;;;;;;6.019;;;;;5.407;2.458;0.079;;;;;;3.005;XRF;;;5.09;0.637;;;;;;;;;;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;8;XRF;;;;138;XRF;;;25;XRF;;;13;XRF;;;17;XRF;;;61;XRF;;;108;XRF;;;23;XRF;;;;;;;58;XRF;;;;;1263;XRF;;;;;12.5;XRF;;;256;XRF;;;11.6;XRF;;;;;;;;;;;;;;;;;1600;XRF;;;60;XRF;;;116;XRF;;;;53;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;XRF;;;;;;4;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-007;232377;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO JENCHANA;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;57.694;1.224;;;;16.91;;;;;;;;6.707;;;;;5.917;2.926;0.084;;;;;;2.517;XRF;;;4.99;0.603;;;;;;;;;;;;-0.02;;;;;;;;;;;;;;;;;;;;;;;;;9;XRF;;;;156;XRF;;;38;XRF;;;17;XRF;;;25;XRF;;;70;XRF;;;105;XRF;;;23;XRF;;;;;;;45;XRF;;;;;1197;XRF;;;;;13.3;XRF;;;227;XRF;;;10.3;XRF;;;;;;;;;;;;;;;;;1385;XRF;;;50;XRF;;;104;XRF;;;;50;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;;;3;XRF;;;;;;;0.512471;;;;;0.706073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-043;232378;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO JENCHANA;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;57.653;1.23;;;;16.881;;;;;;;;6.467;;;;;5.903;2.911;0.083;;;;;;2.519;XRF;;;4.87;0.587;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;8;XRF;;;;152;XRF;;;35;XRF;;;16;XRF;;;22;XRF;;;67;XRF;;;98;XRF;;;22;XRF;;;;;;;44;XRF;;;;;1167;XRF;;;;;13.3;XRF;;;228;XRF;;;10.3;XRF;;;;;;;;;;;;;;;;;1343;XRF;;;47;XRF;;;99;XRF;;;;49;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;;;3;XRF;;;;;;;0.512466;;;;;0.706125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-076;232379;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO JENCHANA;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;57.535;1.212;;;;16.812;;;;;;;;6.724;;;;;5.96;2.889;0.084;;;;;;2.552;XRF;;;4.85;0.588;;;;;;;;;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;12;XRF;;;;157;XRF;;;40;XRF;;;16;XRF;;;26;XRF;;;67;XRF;;;109;XRF;;;24;XRF;;;;;;;44;XRF;;;;;1204;XRF;;;;;13.2;XRF;;;228;XRF;;;10.2;XRF;;;;;;;;;;;;;;;;;1368;XRF;;;50;XRF;;;101;XRF;;;;50;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;XRF;;;;;;3;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-070;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO ACCOPAMAPA;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;58.3;1.247;;;;16.964;;;;;;;;6.725;;;;;5.985;2.853;0.083;;;;;;2.263;XRF;;;4.81;0.505;;;;;;;;;;;;-0.09;;;;;;;;;;;;;;;;;;;;;;;;;9;XRF;;;;151;XRF;;;31;XRF;;;15;XRF;;;23;XRF;;;35;XRF;;;85;XRF;;;24;XRF;;;;;;;42;XRF;;;;;1091;XRF;;;;;12.6;XRF;;;184;XRF;;;7.7;XRF;;;;;;;;;;;;;;;;;1143;XRF;;;37;XRF;;;80;XRF;;;;42;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;XRF;;;;;;4;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;[12633] SOERENSEN E. V. (2008);samp. 121-073;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / ANDAGUA (ANDAHUA) VOLCANIC FIELD;CENTRAL ANDAGUA, CERRO ACCOPAMAPA;-15.53;-72.32;-15.53;-72.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;BENMOREITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;57.597;1.224;;;;16.903;;;;;;;;6.49;;;;;5.887;2.921;0.085;;;;;;2.538;XRF;;;4.91;0.593;;;;;;;;;;;;-0.07;;;;;;;;;;;;;;;;;;;;;;;;;11;XRF;;;;157;XRF;;;39;XRF;;;16;XRF;;;29;XRF;;;70;XRF;;;113;XRF;;;24;XRF;;;;;;;43;XRF;;;;;1172;XRF;;;;;13.3;XRF;;;224;XRF;;;10.1;XRF;;;;;;;;;;;;;;;;;1376;XRF;;;51;XRF;;;105;XRF;;;;50;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;XRF;;;;;;3;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
