Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);ZRO2(WT%);B2O3(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);Y2O3(WT%);V2O3(WT%);NB2O3(WT%);TA2O5(WT%);WO3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CS2O(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);;;;H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);CA(WT%);K(WT%);NA(WT%);LI(PPM);BE(PPM);B(PPM);C(PPM);F(PPM);NA(PPM);MG(PPM);AL(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);AR40(PPB);K(PPM);CA(PPM);SC(PPM);;;;TI(PPM);;;;V(PPM);CR(PPM);MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM): altern. values or methods;;;;AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB206(PPM);BI(PPM);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;HF176_HF177;HF176_HF177_INI;EPSILON_HF_INI;LU176_HF177;YB176_HF177;AR36_AR39;AR36_AR40;AR37_AR39;AR38_AR39;AR39_AR40;AR40_AR36;AR40_AR39;PB206_U238;PB207_U235;PB208_TH232;TH232_PB204;TH232_U238;U235_PB204;U238_PB204;U238_PB206;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA): altern. values or methods;;;;;;AGE_PB208_TH232(MA);
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.14;;;PRIMARY;;;;;;;;65.48;;;;18.67;;;;;;;;;;;0.1533;;0.2576;;;1.2908;;;;;;10.27;EMP (EPMA);;;4.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.4805989950712;1.25744085025117;;;;;;59.689021082249;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.15;;;PRIMARY;;;;;;;;65.03;;;;18.47;;;;;;;;;;;0.2159;;0.2734;;;1.3901;;;;;;9.88;EMP (EPMA);;;4.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.5510660509446;1.33285609641623;;;;;;57.3487562400498;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.16;;;PRIMARY;;;;;;;;64.81;;;;18.52;;;;;;;;;;;0.151;;0.3375;;;1.3175;;;;;;9.74;EMP (EPMA);;;4.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.7510593760678;1.68444345281836;;;;;;57.8793869240961;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.17;;;PRIMARY;;;;;;;;65.52;;;;18.64;;;;;;;;;;;0.151;;0.2991;;;1.3175;;;;;;9.91;EMP (EPMA);;;4.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.9448546407347;1.46882896756803;;;;;;57.9443074763263;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.18;;;PRIMARY;;;;;;;;64.88;;;;18.36;;;;;;;;;;;0.2043;;0.3343;;;1.3673;;;;;;10.04;EMP (EPMA);;;4.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.3364865050064;1.63064436319525;;;;;;58.3094434421123;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.19;;;PRIMARY;;;;;;;;65.16;;;;18.96;;;;;;;;;;;0.1306;;0.2678;;;1.2899;;;;;;9.72;EMP (EPMA);;;4.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.8931372087558;1.34482222421702;;;;;;58.1169582835177;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.20;;;PRIMARY;;;;;;;;65.2;;;;18.77;;;;;;;;;;;0.1073;;0.2968;;;1.3093;;;;;;10.01;EMP (EPMA);;;4.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.6796113964378;1.45074308789277;;;;;;58.2563133113154;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.21;;;PRIMARY;;;;;;;;64.95;;;;19.16;;;;;;;;;;;0.1678;;0.332;;;1.2917;;;;;;9.8;EMP (EPMA);;;4.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.0376027153575;1.64207159719836;;;;;;57.7115033514908;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.22;;;PRIMARY;;;;;;;;65.08;;;;18.75;;;;;;;;;;;0.1306;;0.2808;;;1.2304;;;;;;9.88;EMP (EPMA);;;4.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.757781019748;1.41537376349961;;;;;;59.2943467041766;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.23;;;PRIMARY;;;;;;;;65.04;;;;18.9;;;;;;;;;;;0.1771;;0.3479;;;1.2339;;;;;;9.37;EMP (EPMA);;;4.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.2086211687016;1.7612541405002;;;;;;56.4793247301366;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.24;;;PRIMARY;;;;;;;;64.37;;;;18.71;;;;;;;;;;;0.1887;;0.3801;;;1.2128;;;;;;9.67;EMP (EPMA);;;4.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.356285919408;1.89127471005895;;;;;;57.2882460673355;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.25;;;PRIMARY;;;;;;;;64.41;;;;18.82;;;;;;;;;;;0.1185;;0.3135;;;1.2694;;;;;;9.65;EMP (EPMA);;;4.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.8717269932074;1.55529681320383;;;;;;57.001378248903;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.26;;;PRIMARY;;;;;;;;64.76;;;;18.69;;;;;;;;;;;0.1904;;0.3056;;;1.3118;;;;;;10.33;EMP (EPMA);;;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.3657724383946;1.47988465636761;;;;;;59.5603368645821;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.27;;;PRIMARY;;;;;;;;64.7;;;;18.81;;;;;;;;;;;0.1394;;0.32;;;1.2407;;;;;;9.91;EMP (EPMA);;;4.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.1824469419482;1.59209028023341;;;;;;58.7048082089787;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.28;;;PRIMARY;;;;;;;;64.7;;;;19.28;;;;;;;;;;;0.1254;;0.3184;;;1.258;;;;;;9.94;EMP (EPMA);;;4.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.5937031803974;1.59377809103061;;;;;;59.2411504997938;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.29;;;PRIMARY;;;;;;;;65.08;;;;18.72;;;;;;;;;;;0.1189;;0.3081;;;1.1824;;;;;;9.93;EMP (EPMA);;;3.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.3443139849925;1.55480131558655;;;;;;59.6643283410481;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.30;;;PRIMARY;;;;;;;;64.69;;;;19.04;;;;;;;;;;;0.1329;;0.2825;;;1.219;;;;;;10.02;EMP (EPMA);;;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.1066857810944;1.44229628584585;;;;;;60.9096439613734;;;;;;;;;;;;;;;;;;;;;;;;;
2014;[18586] BACHMANN O. (2014);samp. CRT09-10A;;NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / CARPENTER RIDGE TUFF;BACHELOR CALDERA, SOUTHERN EDGE OF CARPENTER RODGE;37.5;-106;38.5;-107.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;CRYSTAL-RICH PUMICE;27600000;27600000;OLIGOCENE;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SANIDINE;CRT09-10ALINE#1.31;;;PRIMARY;;;;;;;;64.81;;;;19.08;;;;;;;;;;;0.1934;;0.2648;;;1.1763;;;;;;10.05;EMP (EPMA);;;4.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.695781183459;1.29793097192527;;;;;;58.6518862067193;;;;;;;;;;;;;;;;;;;;;;;;;
