"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","HOSTMINERAL (INCLUSION)","HEATING","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%): altern. values or methods","","","","LI(PPM)","BE(PPM)","F(PPM)","S(PPM)","CL(PPM)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM): altern. values or methods","","","","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","SM147_ND144","SR87_SR86","SR87_SR86_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","TH232_PB204","U238_PB204","D7LI(VS LSVEC)","D18O(VS SMOW)","D34S(VS CDT)","DD(VS SMOW)","ALBITE(MOL%)","AEGIRINE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","DIOPSIDE(MOL%)","ENSTATITE(MOL%)","FE-ORTHOCLASE(MOL%)","FERROSILITE(MOL%)","HEDENBERGITE(MOL%)","JADEITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPTUNITE(MOL%)","ORTHOCLASE(MOL%)","TI-AEGIRINE(MOL%)","AGE(MA): altern. values or methods","","","",
"1981"," [4761] PRINS P. (1981)","samp. OKU21","","ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / OKORUSU COMPLEX","DAMARALAND COMPLEX","-20.09","16.8","-20.09","16.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","DIKE","","","","","WHOLE ROCK","","","","","","","","","","45.76","1.13","","15.41","","","3.68","","4.46","8.27","5.18","0.18","","","3.15","6.64","0.77","","2.91","0.59","1.19","","","","","","","","","","","","1950","","7641","","","","","","","","","","","","112","XRF","","","1254","XRF","","","28","XRF","","","280","XRF","","","225","XRF","","","","","1497","XRF","","","126","XRF","","","207","XRF","","","","81","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1981"," [4761] PRINS P. (1981)","samp. OKU29","","ETENDEKA PROVINCE / SOUTHERN ETENDEKA PROVINCE - NAMIBIA / OKORUSU COMPLEX","DAMARALAND COMPLEX","-20.09","16.8","-20.09","16.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","DIKE","","","","","WHOLE ROCK","","","","","","","","","","50.32","0.69","","19.28","","","3.31","","2.46","4.61","1.98","0.21","","","5.68","8.4","0.37","","0.93","0.34","1.76","","","","","","","","","","","","","","10160","","","","","","","","","","","","172","XRF","","","1815","XRF","","","34","XRF","","","393","XRF","","","352","XRF","","","","","2932","XRF","","","301","XRF","","","458","XRF","","","","139","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [6684] BARRIERO M. E. (1987)","samp. 1229","","NEW ZEALAND / SOUTH ISLAND / OTAGO","CRAGS ON NORTH SIDE OF MINARET BURN, NORTH OF SLIP CREEK","-43.5","170","-43.5","170","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","16000000","28000000","CENOZOIC","","WHOLE ROCK","","","","","","","","","","52.64","0.75","","20.02","","","1.99","","1.24","2.67","1.14","0.14","","","4.59","9.66","0.2","","2.06","0.03","0.99","","","","0.06","","","","","","","","","","","","","","","20","","","","","","","131","MS_ID","","","1121","MS_ID","","","20","XRF","","","552","XRF","","","164","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512835","","0.70298","","0.318","20.37","15.68","40.04","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [6684] BARRIERO M. E. (1987)","samp. CB 88","","NEW ZEALAND / SOUTH ISLAND / OTAGO","CRAGS ON NORTH SIDE OF MINARET BURN, NORTH OF SLIP CREEK","-43.5","170","-43.5","170","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","16000000","28000000","CENOZOIC","","WHOLE ROCK","","","","","","","","","","48.7","1.17","","19.6","","","4.24","","1.4","3.95","0.94","0.17","","","4.35","9.46","0.29","","0.61","","4.4","","","","","","","","","","","","","","","","","","","10","","","","","","","126","MS_ID","","","1464","MS_ID","","","10","XRF","","","840","XRF","","","230","XRF","","","","","","","","","","","","","","","","","","55.3","INAA","","","8.56","INAA","","","","","","","","","","","","","","","","","","","","","","","","","","0.512857","0.0936","0.70311","","0.249","20.39","15.64","39.96","","","","","","","","","","","","","","","","","","","","","","","","",
"1987"," [6684] BARRIERO M. E. (1987)","samp. CB 99","","NEW ZEALAND / SOUTH ISLAND / OTAGO","CRAGS ON NORTH SIDE OF MINARET BURN, NORTH OF SLIP CREEK","-43.5","170","-43.5","170","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","16000000","28000000","CENOZOIC","","WHOLE ROCK","","","","","","","","","","51.8","0.61","","19.1","","","3.6","","1.1","1.68","1.11","0.17","","","4.54","10.8","0.11","","3.4","","0.8","","","","","","","","","","","","","","","","","","","30","","","","","","","176","MS_ID","","","376","MS_ID","","","20","XRF","","","1150","XRF","","","260","XRF","","","","","","","","","","","","","","","","","","25.8","INAA","","","4.51","INAA","","","","","","","","","","","","","","","","","","","","","","","","","","0.512853","0.1059","0.70351","","1.46","20.31","15.67","39.96","","","","","","","","","","","","","","","","","","","","","","","","",
"1991"," [8177] SCHLEICHER H. (1991)","samp. 166","150043","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","","48.1","7.67","48.1","7.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MIOCENE","","WHOLE ROCK","","","","","","","","","","41.79","0.69","","17.9","","","3.96","","2.24","9.98","1.98","0.33","","","3.71","5.23","0.19","","","","","","","","","10.71","","","","","","","","","","","8","","160","140","","14","6","","","","153","XRF","","","5870","XRF","","","20","XRF","","","404","XRF","","","280","XRF","","","","","2743","XRF","","","259","XRF","","","456","XRF","","","","92","XRF","","","","","","","","","","","","","","","","","","","","","26.4","TIMS_ID","28","XRF","145","13.7","TIMS_ID","14","XRF","","","","0.70401","","19.642","15.654","39.497","","","","","","","","","","","","","","","","","","","","","","","","",
"1991"," [8177] SCHLEICHER H. (1991)","samp. 166","150043","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","","48.1","7.67","48.1","7.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MIOCENE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7","TIMS_ID","","","","13.2","TIMS_ID","","","","","","","","19.614","15.644","49.431","","","","","","","","","","","","","","","","","","","","","","","","",
"1990"," [9242] SCHLEICHER H. (1990)","samp. 166","150043","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","","48.1","7.67","48.1","7.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153","XRF","","","5870","SOSMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1990"," [9242] SCHLEICHER H. (1990)","samp. 406","240672","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","","48.1","7.67","48.1","7.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258","XRF","","","14327","SOSMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1970"," [9324] SCHNEIDER A. (1970)","samp. 4506/1","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","MEISENSALZ","47.92","7.75","47.92","7.75","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","FROM A DIKE IN ERUPTIVE BRECCIA","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.6","","","","","","","","","","","","","","","","","","","",
