"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","HOSTMINERAL (INCLUSION)","HEATING","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","K(WT%): altern. values or methods","","","","LI(PPM)","BE(PPM)","F(PPM)","S(PPM)","CL(PPM)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","SN(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM): altern. values or methods","","","","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","PB(PPM): altern. values or methods","","","","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","SM147_ND144","SR87_SR86","SR87_SR86_INI","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","TH232_PB204","U238_PB204","D7LI(VS LSVEC)","D18O(VS SMOW)","D34S(VS CDT)","DD(VS SMOW)","ALBITE(MOL%)","AEGIRINE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","DIOPSIDE(MOL%)","ENSTATITE(MOL%)","FE-ORTHOCLASE(MOL%)","FERROSILITE(MOL%)","HEDENBERGITE(MOL%)","JADEITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPTUNITE(MOL%)","ORTHOCLASE(MOL%)","TI-AEGIRINE(MOL%)","AGE(MA): altern. values or methods","","","",
"1985"," [9481] EMBLETON B. J. J. (1985)","samp. 11087","","AUSTRALIA / TASMAN OROGEN / NEW SOUTH WALES","BARIGAN HOLE, SYDNEY-BOWEN BASIN","-32.5667","149.9667","-32.5667","149.9667","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.33","NOT","4.35","NOT","","","","","","1.5673E-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","K-AR","","",
"2006"," [9733] MANN U. (2006)","samp. KB31","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / ODENWALD / KATZENBUCKEL","25KM EAST OF THE RHINEGRABEN","49.46","9.03","49.487","9.06","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","55000000","65000000","PALEOCENE-EOCENE","","MINERAL / COMPONENT (INCL. GROUNDMASS)","FELDSPAR","","","","PRIMARY","","","","","65.33","","","17.3","","","1.27","","","0","","","0.07","","14.45","1.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","0","","","","4","","","","","","80","","","","","",
"2006"," [9733] MANN U. (2006)","samp. KB31","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / ODENWALD / KATZENBUCKEL","25KM EAST OF THE RHINEGRABEN","49.46","9.03","49.487","9.06","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","55000000","65000000","PALEOCENE-EOCENE","","MINERAL / COMPONENT (INCL. GROUNDMASS)","CLINOPYROXENE","","","","PRIMARY","","","","","52.16","4.08","0.77","0.92","","","12.22","","5.23","9.13","6.14","0.36","","","0","8.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","23","1","","1","12","2","","","","24","","","","",
"2006"," [9733] MANN U. (2006)","samp. KB31","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / ODENWALD / KATZENBUCKEL","25KM EAST OF THE RHINEGRABEN","49.46","9.03","49.487","9.06","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","55000000","65000000","PALEOCENE-EOCENE","","MINERAL / COMPONENT (INCL. GROUNDMASS)","BIOTITE","","","","PRIMARY","","","","","39.18","5.34","","8.52","","","","","20.8","0.02","12.11","0.72","0","","9.37","0.5","","","","","","1.33","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1979"," [9740] COOPER A. F. (1979)","samp. TINGUAITE","","NEW ZEALAND / SOUTH ISLAND / OTAGO","HAAST SHIST TERRANE, SOUTH OF HAAST RIVER AREA","-43.8","169","-43.8","169","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","DIKE","","","","","WHOLE ROCK","","","","","","","","","","53.39","0.5","","19.46","","","3.45","","0.74","1.61","0.73","0.12","","","4.27","11.19","0.08","","2.15","0.15","1.5","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","WHOLE ROCK","","","","","","","","","","61.6","0.57","","20.2","","3.38","","","","1.62","0.9","0.18","","","5.4","6.96","0.09","","5.8","2.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39S","","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","WHOLE ROCK","","","","","","","","","","59","0.01","","22","","0.37","","","","0.1","0.05","0.07","","","6.04","9.3","0","","1.91","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","MAGNETITE","","PHENOCRYST","","PRIMARY","","","","","0.02","10.46","","1.27","0","","48.13","","37.88","0.02","0.48","2.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ILMENITE","","PHENOCRYST","","PRIMARY","","","","","0","49.23","","0","0.08","","6.64","","33.84","0.05","1.31","8.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39S","","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","INCLUSION","","","","","","MINERAL INCLUSION","MAGNETITE","","False","0","10.12","","0.44","0","","49.2","","34.27","0.02","0.76","4.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39S","","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","INCLUSION","","","","","","MINERAL INCLUSION","ILMENITE","","False","0","49.62","","0","0","","7.41","","31.07","0.06","1.79","10.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","MICA","","PHENOCRYST","CORE","PRIMARY","","","","","34.53","5.75","","14.01","","","","22.01","","0","8.66","0.92","","","8.83","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","AMPHIBOLE","","PHENOCRYST","CORE","PRIMARY","","","","","40.77","4.6","","14.97","0.01","","","7.81","","11.09","14.93","0.06","","","2.39","2.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39S","","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","INCLUSION","","","","","","MINERAL INCLUSION","NEPHELINE","","False","45.91","0.07","","32.47","0","","","0.35","","0.06","0.04","0","","","3.78","17.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PYROXENE","","PHENOCRYST","CORE","PRIMARY","","","","","44.3","3.54","","8.06","0","","5.46","","3.96","22.22","11","0.18","","","0","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PYROXENE","","PHENOCRYST","RIM","PRIMARY","","","","","44.78","3.35","","7.83","0","","5.97","","3.91","21.97","11.07","0.18","","","0.06","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [10290] CORNEN G. (1982)","samp. 6/39","195523","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.72","-11.3583","36.72","-11.3583","-1200","-1640","DREDGE","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","PORPHYRITIC","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PYROXENE","","PHENOCRYST","CORE","PRIMARY","","","","","51.44","1.99","","0.49","0","","11.22","","14.79","11.37","0.01","2.25","","","0.02","6.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1969"," [10662] COOMBS D. S. (1969)","samp. 6","","NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN","NORTH SHORE OF HOOPERS INLET, DUNEDIN DISTRICT","-45.6","170.5","-45.8","170.8","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","","","WHOLE ROCK","","","","","","","","","","53.58","0.22","","19.48","","","3.11","","1.75","1.31","0.12","0.18","","","4.79","9.29","0.09","","4.51","0.68","0.63","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1988"," [13336] BOUABDLI A. (1988)","samp. 47","","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / MOROCCO / TAMAZERT (TAMAZEGHT) COMPLEX","NORTHERN HIGH ATLAS","30.58","-4.58","32.5","-4.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MESOZOIC","","WHOLE ROCK","","","","","","","","","","56.44","0.22","","19.25","","4.82","","","","1.21","0.11","0.16","","","6.56","9.77","0.03","","","","","","","","","0.45","","","","","14","","","","","","0.2","","66","68","","1","5","4","77","","257","XRF","","","658","XRF","","","18","XRF","","","2062","XRF","","","165","XRF","","","","","","","","","148","INAA","","","176","INAA","","","","23.8","INAA","","","2.49","INAA","","","0.56","","0.29","INAA","","","","","","","1.78","0.33","25.7","","","","","","29.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1988"," [13336] BOUABDLI A. (1988)","samp. 49","","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / MOROCCO / TAMAZERT (TAMAZEGHT) COMPLEX","NORTHERN HIGH ATLAS","30.58","-4.58","32.5","-4.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MESOZOIC","","WHOLE ROCK","","","","","","","","","","50.97","0.62","","20.7","","4.56","","","","3.44","0.56","0.14","","","8.97","7.78","0.13","","","","","","","","","1.41","","","","","9","","","","","","0.4","","125","63","","3","5","3","68","","98","XRF","","","3381","XRF","","","13","XRF","","","826","XRF","","","223","XRF","","","","","2726","XRF","","","102","INAA","","","97.9","INAA","","","","26.6","INAA","","","2.39","INAA","","","0.56","","0.18","INAA","","","","","","","0.92","0.18","7.1","","","","","","10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1988"," [13336] BOUABDLI A. (1988)","samp. 49","","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / MOROCCO / TAMAZERT (TAMAZEGHT) COMPLEX","NORTHERN HIGH ATLAS","30.58","-4.58","32.5","-4.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MESOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","MICA","","","CORE","PRIMARY","","","","","35.88","5.72","","15.9","","","","13.94","","","14.52","0.3","","","9.99","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1988"," [13336] BOUABDLI A. (1988)","samp. 49","","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / MOROCCO / TAMAZERT (TAMAZEGHT) COMPLEX","NORTHERN HIGH ATLAS","30.58","-4.58","32.5","-4.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MESOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","MICA","","","INTERMEDIATE ZONE","PRIMARY","","","","","35.86","5.9","","15.88","","","","14","","","14.7","0.25","","","9.87","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1988"," [13336] BOUABDLI A. (1988)","samp. 49","","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / MOROCCO / TAMAZERT (TAMAZEGHT) COMPLEX","NORTHERN HIGH ATLAS","30.58","-4.58","32.5","-4.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MESOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","MICA","","","RIM","PRIMARY","","","","","33.92","8.87","","15.15","","","","15.72","","0.03","12.96","0.21","","","9.24","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1988"," [13336] BOUABDLI A. (1988)","samp. 49","","CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP / MOROCCO / TAMAZERT (TAMAZEGHT) COMPLEX","NORTHERN HIGH ATLAS","30.58","-4.58","32.5","-4.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","MESOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","MICA","","GROUNDMASS","","PRIMARY","","","","","35.06","6.81","","14.73","","","","17.07","","0.09","11.75","0.31","","","9.94","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2000"," [13408] ULRYCH J. (2000)","samp. 152","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF / CESKE STREDOHORI VOLCANIC COMPLEX","SKRYTIN, ROZTOKY, CESKE STREDOHORI MOUNTAINS","50.65","14.22","50.65","14.22","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","PORPHYRY","","","","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142","XRF","","","1128","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [13979] BERNARD-GRIFFITHS J. (1997)","samp. 11783","","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / PORTUGAL / MONCHIQUE COMPLEX","SERRA DE MONCHIQUE","37.32","-8.6","37.32","-8.6","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","CRETACEOUS","","WHOLE ROCK","","","","","","","","","","54.6","0.76","","21","","3.96","","","","2.03","0.49","0.21","","","6.11","7.95","0.23","","","","","","","","","1.75","","","","","","","","","","","","","60","3","","1","1","1","105","36","191","XRF","","","2892","XRF","","","25","XRF","","","921","XRF","","","191","XRF","","","","","1565","XRF","","","112","MS_ID","","","164","MS_ID","","","","39.6","MS_ID","","","5.22","MS_ID","","","1.64","4.06","","","","","3.46","","2.21","","2.45","0.371","","","20","XRF","","","26","8.4","XRF","","","0.512853","0.0797","0.70336","","0.191","19.732","15.623","39.55","88","27.5","","","","","","","","","","","","","","","","","","","","","","",
"1997"," [13979] BERNARD-GRIFFITHS J. (1997)","samp. 11288","","LATE CRETACEOUS IBERIAN IGNEOUS PROVINCE / GORRINGE BANK / ORMONDE","","36.8","-11.2","36.8","-11.2","","","dive","SUBAQUATIC","VOLCANIC ROCK","TINGUAITE","","","","","CRETACEOUS","","WHOLE ROCK","","","","","","","","","","55.5","0.44","","22.3","","2.79","","","","1.07","0.42","0.16","","","4.95","5.64","0.09","","","","","","","","","5.72","","","","","","","","","","","","","64","5","","3","4","6","60","45","197","XRF","","","817","XRF","","","12","XRF","","","1359","XRF","","","269","XRF","","","","","2263","XRF","","","48.5","MS_ID","","","84.1","MS_ID","","","","21.8","MS_ID","","","2.98","MS_ID","","","0.92","2.3","","","","","2.3","","1.4","","1.74","0.308","","","20","XRF","","","51","10.7","XRF","","","0.512925","0.0826","0.703784","","0.696","19.702","15.782","40.06","174","35.4","","","","","","","","","","","","","","","","","","","","","","",
"1995"," [14695] MONTES-LAUAR C. R. (1995)","samp. 11385","","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES / BRAZIL / SERRA DO MAR IGNEOUS PROVINCE","SAO SEBASTIAO ISLAND, SAO PAULO","-23.75","-45.25","-23.92","-45.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","CRETACEOUS","UPPER","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271.17","TIMS_ID","","","59.47","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.72078","","13.22","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2011 "," [15194] ULRYCH J.(2011)  [GeoReM [7755] ]","samp. 33","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","EGER RIFT GRABEN","50","13","51","15","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","OLIGOCENE","","WHOLE ROCK","","","","","","","","","","57.99","0.42","","19.87","","2.702379","","","","2.12","0.51","0.2","","","5.04","7.66","0.05","","","","","","","","","2.77","","","","","","","","","","","1.61","","35.6","6.7","","2.84","","","128","","159","ICPMS","","","980","ICPMS","","","11.5760869565217","ICPMS","","","1310","ICPMS","","","173","ICPMS","","","","2.75","725","ICPMS","","","125.5","ICPMS","","","154","ICPMS","","","","33.6","ICPMS","","","4.64","ICPMS","","","1.039","3.02","0.435","ICPMS","","","4.4","","","","2.5","0.4","17.89","4.19","","","","","24.3","6.2","ICPMS","","","0.512708","","0.70418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2011 "," [15194] ULRYCH J.(2011)  [GeoReM [7755] ]","samp. 34","","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","EGER RIFT GRABEN","50","13","51","15","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TINGUAITE","","","","","OLIGOCENE","","WHOLE ROCK","","","","","","","","","","52.69","0.7","","20.16","","3.446899","","","","4.6","0.67","0.175","","","4.73","6.59","0.19","","","","","","","","","5.85","","","","","","","","","","","1.71","","66.4","11.1","","32.72","4.1","","108","","138","ICPMS","","","2300","ICPMS","","","18.5","ICPMS","","","780","ICPMS","","","129.4","ICPMS","","","","3.41","1677","ICPMS","","","115.5","ICPMS","","","146.5","ICPMS","","","","34.4","ICPMS","","","4.55","ICPMS","","","1.28","3.03","0.475","ICPMS","","","3.22","","","","2.2","0.34","10.04","3.09","21","ICPMS","","","20.8","3.2","ICPMS","","","0.512816147582152","","0.70362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
