Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);;;;TIO2(WT%);;;;ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);;;;CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);CEO2(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O3(WT%);NB2O5(WT%);TA2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);;;;MGO(WT%);;;;MNO(WT%);;;;BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);K(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G);LI(PPM);;;;BE(PPM);B(PPM);F(PPM);S(PPM);CL(PPM);AR40(CCMSTP/G);AR40(MOL/G);CA(PPM);SC(PPM);;;;TI(PPM);V(PPM);;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);BR(PPM): altern. values or methods;;;;RB(PPM): altern. values or methods;;;;;;SR(PPM): altern. values or methods;;;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);CD(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB);RE(PPT);OS(PPB);OS(PPT);IR(PPB);PT(PPB);AU(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);BI(PPM);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;;;U(PPM): altern. values or methods;;;;;;ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;ND145_ND144;SM147_ND144;SR84_SR86;SR84_SR88;SR87_SR86;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;OS187_OS188;RE187_OS188;HF176_HF177;HF176_HF177_INI;EPSILON_HF;EPSILON_HF_INI;LU176_HF177;HE3_HE4(R/R(A));HE4_HE3;PB206_U238;PB207_U235;PB208_TH232;PB210_RA226_ACT;PB210_U238;RA226_TH230_ACT;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U238_PB204;U238_PB206;D7LI(PER MIL);D7LI(VS LSVEC);D11B(PER MIL);D11B(VS NBS951);D13C(PER MIL);D13C(VS PDB);D13C(VS VPDB);D18O(PER MIL);D18O(VS SMOW): altern. values or methods;;;;;;D18O(VS VSMOW);D25MG(VS DSM3);D26MG(VS DSM3);D56FE(VS IRMM-014);D57FE(VS IRMM-014);MY_W182(VS NBS3163): altern. values or methods;;;;MY_W183(VS NBS3163);MY_W184(VS NBS3163);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);AGE_PB208_TH232(MA);
1985;[8620] DAWSON J. B. (1985);samp. BD1127;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;ARCUATE DIKE;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;40.3;EMP (EPMA);;;0.037;EMP (EPMA);;;;;;0.06;EMP (EPMA);;;0.079;;;;;;;;;;;;;;;;11.8;;0.35;EMP (EPMA);;;47.6;EMP (EPMA);;;0.143;EMP (EPMA);;;;;0.29;;;;;;;;0.013;EMP (EPMA);;;0.027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1127;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;ARCUATE DIKE;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;39.7;EMP (EPMA);;;0.115;EMP (EPMA);;;;;;0.102;EMP (EPMA);;;0.027;;;;;;;;;;;;;;;;12.1;;0.98;EMP (EPMA);;;46.5;EMP (EPMA);;;0.27;EMP (EPMA);;;;;0.09;;;;;;;;0.017;EMP (EPMA);;;0.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1127;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;ARCUATE DIKE;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;RIM;;PRIMARY;;;;;40.1;EMP (EPMA);;;0.054;EMP (EPMA);;;;;;0.017;EMP (EPMA);;;0.042;;;;;;;;;;;;;;;;12.9;;0.58;EMP (EPMA);;;46.7;EMP (EPMA);;;0.21;EMP (EPMA);;;;;0.15;;;;;;;;0.015;EMP (EPMA);;;0.034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1424;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / TORO-ANKOLE VOLCANIC FIELD / NYAMUNYUKA (NYAMUNUNKA);WESTERN RIM OF NYAMNYUKA CRATER, SW UGANDA;-0.08;29.97;-0.08;29.97;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;KATUNGITE, EJECTED BLOCK;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;40.4;EMP (EPMA);;;0.044;EMP (EPMA);;;;;;0.079;EMP (EPMA);;;0.053;;;;;;;;;;;;;;;;11.4;;0.43;EMP (EPMA);;;47.8;EMP (EPMA);;;0.17;EMP (EPMA);;;;;0.22;;;;;;;;0.021;EMP (EPMA);;;0.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1424;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / TORO-ANKOLE VOLCANIC FIELD / NYAMUNYUKA (NYAMUNUNKA);WESTERN RIM OF NYAMNYUKA CRATER, SW UGANDA;-0.08;29.97;-0.08;29.97;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;KATUNGITE, EJECTED BLOCK;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;RIM;;PRIMARY;;;;;39.8;EMP (EPMA);;;0.096;EMP (EPMA);;;;;;0.115;EMP (EPMA);;;0.012;;;;;;;;;;;;;;;;12;;1.36;EMP (EPMA);;;47;EMP (EPMA);;;0.36;EMP (EPMA);;;;;0.055;;;;;;;;0.021;EMP (EPMA);;;0.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1228;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;ARCUATE DIKE;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;40.5;EMP (EPMA);;;0.046;EMP (EPMA);;;;;;0.124;EMP (EPMA);;;0.049;;;;;;;;;;;;;;;;12;;0.44;EMP (EPMA);;;47.4;EMP (EPMA);;;0.157;EMP (EPMA);;;;;0.176;;;;;;;;0.039;EMP (EPMA);;;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1228;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;ARCUATE DIKE;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;RIM;;PRIMARY;;;;;39.6;EMP (EPMA);;;0.072;EMP (EPMA);;;;;;0.105;EMP (EPMA);;;0.012;;;;;;;;;;;;;;;;16.8;;1.07;EMP (EPMA);;;42;EMP (EPMA);;;0.74;EMP (EPMA);;;;;0.036;;;;;;;;0.037;EMP (EPMA);;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1238;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;SILL;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;39.9;EMP (EPMA);;;0.026;EMP (EPMA);;;;;;0.11;EMP (EPMA);;;0.059;;;;;;;;;;;;;;;;11.9;;0.56;EMP (EPMA);;;47.3;EMP (EPMA);;;0.128;EMP (EPMA);;;;;0.327;;;;;;;;0.025;EMP (EPMA);;;0.036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1238;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;SILL;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;RIM;;PRIMARY;;;;;40;EMP (EPMA);;;0.06;EMP (EPMA);;;;;;0.084;EMP (EPMA);;;0.003;;;;;;;;;;;;;;;;11.9;;1.64;EMP (EPMA);;;46;EMP (EPMA);;;0.43;EMP (EPMA);;;;;0.011;;;;;;;;0.034;EMP (EPMA);;;0.062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1234;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;SILL;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;39.8;EMP (EPMA);;;0.033;EMP (EPMA);;;;;;0.115;EMP (EPMA);;;0.073;;;;;;;;;;;;;;;;11.8;;0.52;EMP (EPMA);;;47;EMP (EPMA);;;0.145;EMP (EPMA);;;;;0.34;;;;;;;;0.037;EMP (EPMA);;;0.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1234;;NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE;SUTHERLAND TOWNLANDS;-32.4;20.6;-32.4;20.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;SILL;75800000;75800000;CRETACEOUS;UPPER;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;RIM;;PRIMARY;;;;;40;EMP (EPMA);;;0.047;EMP (EPMA);;;;;;0.131;EMP (EPMA);;;0.048;;;;;;;;;;;;;;;;11.9;;0.61;EMP (EPMA);;;47.5;EMP (EPMA);;;0.158;EMP (EPMA);;;;;0.22;;;;;;;;0.038;EMP (EPMA);;;0.046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. JG958;;EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / ARMYKON HILL;SOUTHERN SHORE OF LAKE NATRON, 15 KM NW OF THE LARASI FLOW;-2.58;35.93;-2.58;35.93;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;;;PRIMARY;;;;;38.2;EMP (EPMA);;;0.177;EMP (EPMA);;;;;;0.068;EMP (EPMA);;;0.007;;;;;;;;;;;;;;;;14.6;;1.06;EMP (EPMA);;;44.2;EMP (EPMA);;;0.31;EMP (EPMA);;;;;0.044;;;;;;;;0.059;EMP (EPMA);;;0.047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. JG958;;EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / ARMYKON HILL;SOUTHERN SHORE OF LAKE NATRON, 15 KM NW OF THE LARASI FLOW;-2.58;35.93;-2.58;35.93;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;;;PRIMARY;;;;;38.7;EMP (EPMA);;;0.198;EMP (EPMA);;;;;;0.082;EMP (EPMA);;;0.006;;;;;;;;;;;;;;;;15;;1.17;EMP (EPMA);;;43.4;EMP (EPMA);;;0.3;EMP (EPMA);;;;;0.053;;;;;;;;0.06;EMP (EPMA);;;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1414;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / TORO-ANKOLE VOLCANIC FIELD;EAST OF LAKE KATUNGA, SW UGANDA;-0.47;30.2;-0.47;30.2;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;KATUNGITE, LAVA FLOW;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;CORE;;PRIMARY;;;;;40.5;EMP (EPMA);;;0.042;EMP (EPMA);;;;;;0.106;EMP (EPMA);;;0.079;;;;;;;;;;;;;;;;10;;0.23;EMP (EPMA);;;49.5;EMP (EPMA);;;0.133;EMP (EPMA);;;;;0.4;;;;;;;;0.029;EMP (EPMA);;;0.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD1414;;EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / TORO-ANKOLE VOLCANIC FIELD;EAST OF LAKE KATUNGA, SW UGANDA;-0.47;30.2;-0.47;30.2;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE, OLIVINE;;KATUNGITE, LAVA FLOW;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;PHENOCRYST;RIM;;PRIMARY;;;;;39.7;EMP (EPMA);;;0.076;EMP (EPMA);;;;;;0.139;EMP (EPMA);;;0.018;;;;;;;;;;;;;;;;11.6;;1.24;EMP (EPMA);;;47;EMP (EPMA);;;0.342;EMP (EPMA);;;;;0.06;;;;;;;;0.039;EMP (EPMA);;;0.036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD105;;EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LOOLMURWAK;;-2.78;35.98;-2.78;35.98;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;AA FLOW;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;MICROPHENOCRYST;;;PRIMARY;;;;;50.7;EMP (EPMA);;;2.2;EMP (EPMA);;;;;;2.7;EMP (EPMA);;;0.03;;;;;;;;;;;;;;;;5;;24;EMP (EPMA);;;14.6;EMP (EPMA);;;0.06;EMP (EPMA);;;;0;;;;;;;;;0.33;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8620] DAWSON J. B. (1985);samp. BD105;;EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LOOLMURWAK;;-2.78;35.98;-2.78;35.98;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MELILITITE;;AA FLOW;;;HOLOCENE;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;;PRIMARY;;;;;48.3;EMP (EPMA);;;3.42;EMP (EPMA);;;;;;4.81;EMP (EPMA);;;0;;;;;;;;;;;;;;;;5.37;;24.2;EMP (EPMA);;;12.9;EMP (EPMA);;;0.08;EMP (EPMA);;;;0.04;;;;;;;;;0.47;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
