Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;SAMPLE COMMENT;GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);PRIMARY/SECONDARY;SIO2(WT%);TIO2(WT%);AL2O3(WT%);FE2O3T(WT%);FEOT(WT%);CAO(WT%);MGO(WT%);MNO(WT%);K2O(WT%);NA2O(WT%);P2O5(WT%);LOI(WT%);LI(PPM);SC(PPM);V(PPM);CR(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);RB(PPM);SR(PPM);Y(PPM);ZR(PPM);NB(PPM);BA(PPM);LA(PPM);CE(PPM);PR(PPM);ND(PPM);SM(PPM);EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);PB(PPM);TH(PPM);U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND_INI;SM147_ND144;PB207_PB206;PB206_U238;PB207_U235;D56FE(VS IRMM-014);AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-2;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14202;0.055;1.07372;;2252;741;344;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-3;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14597;0.031;0.61953;;2299;490;195;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-4;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05742;0.021;0.15734;;508;148;136;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-5;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05297;0.021;0.14702;;328;139;135;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-6;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04852;0.02;0.13284;;125;127;130;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-7;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05091;0.02;0.14145;;237;134;129;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-8;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05599;0.021;0.14356;;452;136;133;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-9;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04605;0.02;0.12592;;;120;127;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-10;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04321;0.02;0.1444;;-112;137;129;
2024;[27384] WANG YI-NAN (2024);samp. 15ZG07-1;;CENTRAL ASIAN FOLDBELT - MIOCENE / CHINA - MESOZOIC / TIBET;ZHEGUCUO;28.8;91.7;28.8;91.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;DOLERITE;DIABASE;CRETACEOUS;LOWER;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;ZG07-11;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05668;0.02;0.15655;;479;148;128;
