Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);NIO(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);LOI(WT%);K(WT%);LI(PPM);BE(PPM);B(PPM);P(PPM);AR36(CCMSTP/G);AR40(CCMSTP/G);AR40(MOL/G);K(PPM);SC(PPM);TI(PPM);V(PPM);;;;CR(PPM);;;;MN(PPM);CO(PPM);NI(PPM): altern. values or methods;;;;CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM): altern. values or methods;;;;W(PPM);RE(PPT);OS(PPT);IR(PPB);AU(PPB);TL(PPM);PB(PPM);PB206(PPM);BI(PPM);RA(PPT);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;RB87_SR86;PB206_PB204;PB207_PB204;PB207_PB206;PB208_PB204;OS187_OS188;RE187_OS188;HF176_HF177;HF176_HF177_INI;EPSILON_HF;EPSILON_HF_INI;LU176_HF177;YB176_HF177;PB206_U238;PB207_U235;PB208_TH232;RA226_TH230_ACT;TH230_TH232_ACT;TH232_U238;U238_TH230_ACT;U238_TH232_ACT;D7LI(PER MIL);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D29SI(VS NBS28);D30SI(VS NBS28);D41K(VS SRM3141A);D49TI(VS OL-TI);D65CU(VS NBS-976);D66ZN(VS JMC-LYON);D68ZN(VS JMC-LYON);D98_95MO(VS NIST3134);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);WOLLASTONITE(MOL%);AGE(MA): altern. values or methods;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);AGE_PB208_TH232(MA);
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107;2528;206;SIMS;;;4538;SIMS;;;;;;;;;;;;;;;;;;;;61;SIMS;;;;;;;27.1;SIMS;;;;;;;;;;;;;;;;;;0.59;SIMS;;;3;SIMS;;;;4.22;SIMS;;;1.7;SIMS;;;0.58;;;1.22;;0.74;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;2699;473;SIMS;;;189;SIMS;;;;;;;;;;;;;;;;;;;;32;SIMS;;;;;;;39.2;SIMS;;;;;;;;;;;;;;;;;;2.34;SIMS;;;7.76;SIMS;;;;7.64;SIMS;;;2.78;SIMS;;;0.96;;;2.34;;1.36;;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;3767;222;SIMS;;;1167;SIMS;;;;;;;;;;;;;;;;;;;;131;SIMS;;;;;;;55;SIMS;;;;;;;;;;;;;;;;;;1.15;SIMS;;;5.07;SIMS;;;;6.54;SIMS;;;2.65;SIMS;;;0.97;;;1.98;;1.08;;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82;2992;469;SIMS;;;182;SIMS;;;;;;;;;;;;;;;;;;;;33;SIMS;;;21.4;SIMS;;;57.5;SIMS;;;;;;;;;;;;;;;;;;3.45;SIMS;;;13.6;SIMS;;;;12.2;SIMS;;;3.71;SIMS;;;1.16;;;3.02;;1.96;;1.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;1448;172;SIMS;;;5728;SIMS;;;;;;;;;;;;;;;;;;;;56;SIMS;;;5.71;SIMS;;;11.3;SIMS;;;;;;;;;;;;;;;;;;0.86;SIMS;;;3.96;SIMS;;;;4.18;SIMS;;;1.46;SIMS;;;0.51;;;1;;0.57;;0.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;3297;581;SIMS;;;149;SIMS;;;;;;;;;;;;;;;;;;;;32;SIMS;;;16.7;SIMS;;;27.1;SIMS;;;;;;;;;;;;;;;;;;1.96;SIMS;;;7.59;SIMS;;;;8.07;SIMS;;;3.07;SIMS;;;1.21;;;3.08;;1.8;;1.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;1326;186;SIMS;;;5698;SIMS;;;;;;;;;;;;;;;;;;;;54;SIMS;;;5.47;SIMS;;;11.3;SIMS;;;;;;;;;;;;;;;;;;1.04;SIMS;;;4.49;SIMS;;;;5.16;SIMS;;;1.9;SIMS;;;0.66;;;1.56;;0.67;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. ADK53;30926;ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK / MOUNT MOFFETT;;51.92;-176.75;51.92;-176.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;ADAKITE;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;RIM;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;1569;137;SIMS;;;2683;SIMS;;;;;;;;;;;;;;;;;;;;119;SIMS;;;6.9;SIMS;;;17.1;SIMS;;;;;;;;;;;;;;;;;;3.93;SIMS;;;10.4;SIMS;;;;7.35;SIMS;;;2.3;SIMS;;;1.07;;;1.55;;0.83;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. KCPY1;28891;ALEUTIAN ARC / KOMANDORSKY ISLANDS / MEDNY;DREDGE 36;54;168.6;54;168.6;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;2247;214;SIMS;;;3272;SIMS;;;;;;;;;;;;;;;;;;;;112;SIMS;;;;;;;17.9;SIMS;;;;;;;;;;;;;;;;;;0.79;SIMS;;;3.76;SIMS;;;;4.53;SIMS;;;1.63;SIMS;;;0.59;;;1.04;;0.49;;0.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. KCPY1;28891;ALEUTIAN ARC / KOMANDORSKY ISLANDS / MEDNY;DREDGE 36;54;168.6;54;168.6;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;1977;191;SIMS;;;1366;SIMS;;;;;;;;;;;;;;;;;;;;101;SIMS;;;;;;;12.9;SIMS;;;;;;;;;;;;;;;;;;0.48;SIMS;;;1.99;SIMS;;;;2.52;SIMS;;;0.91;SIMS;;;0.35;;;0.6;;0.3;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. KCPY1;28891;ALEUTIAN ARC / KOMANDORSKY ISLANDS / MEDNY;DREDGE 36;54;168.6;54;168.6;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;1212;184;SIMS;;;455;SIMS;;;;;;;;;;;;;;;;;;;;76;SIMS;;;;;;;23.8;SIMS;;;;;;;;;;;;;;;;;;1.64;SIMS;;;6.31;SIMS;;;;5.73;SIMS;;;1.69;SIMS;;;0.64;;;1.24;;0.67;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;[2198] YOGODZINSKI G. M. (1998);samp. KCPY1;28891;ALEUTIAN ARC / KOMANDORSKY ISLANDS / MEDNY;DREDGE 36;54;168.6;54;168.6;;;DREDGE;SUBAQUATIC;VOLCANIC ROCK;ADAKITE;;;;;MIOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;1206;170;SIMS;;;2219;SIMS;;;;;;;;;;;;;;;;;;;;99;SIMS;;;;;;;6.67;SIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
