Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);NIO(WT%);K2O(WT%);;;;;;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);LOI(WT%);K(WT%);;;;HE(CCMSTP/G);BE(PPM);F(PPM);;;;NE22(CCMSTP/G);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(MOL/G): altern. values or methods;;;;SC(PPM): altern. values or methods;;;;V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM);MO(PPM);CD(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM);PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPT): altern. values or methods;;;;AU(PPB);TL(PPM);PB(PPM);BI(PPM);TH(PPM);U(PPM);ND143_ND144;SM147_ND144;SR87_SR86;RB87_SR86;PB206_PB204;PB207_PB204;PB208_PB204;PB208_PB206;HE3_HE4(R/R(A));AR38_AR36;AR40_AR36;KR78_KR84;KR80_KR84;KR82_KR84;KR83_KR84;KR86_KR84;XE124_XE132;XE126_XE132;XE128_XE132;XE129_XE132;XE130_XE132;XE131_XE132;XE134_XE132;XE136_XE132;TH230_TH232_ACT;U238_TH232_ACT;D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS CDT);DD(VS VSMOW);ALBITE(MOL%);ANORTHITE(MOL%);FORSTERITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);ULVOSPINEL(MOL%);AGE(KA);AGE(MA);
1980;[615] BAITIS H. W. (1980);samp. DH-6J;;GALAPAGOS ISLANDS / PINZON (DUNCAN) / MAIN SHIELD / R3 FLOW;MAIN SHIELD;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;PAHOEHOE;;;;;;;;WHOLE ROCK;;;;;;54.7;2.06;14.97;;;;2.71;;7.79;7.96;4.01;0.21;;;1.08;XRF;;;;;;;3.87;0.31;;;;;;0.45;;;;;;;;;;;;;;;;;;;26;INAA;;;;;;;71;INAA;;;;32;INAA;;;42;XRF;;;;;;;;;;;;;;23;XRF;;;270;XRF;;;;;;;396;XRF;;;;;;;;;;170;INAA;;;27.1;INAA;;;63;;;;;;10.6;INAA;;;2.75;;1.82;;;;;5.3;0.8;9;1.99;;;;;;;;;;3.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;[615] BAITIS H. W. (1980);samp. DH-8V;;GALAPAGOS ISLANDS / PINZON (DUNCAN) / MAIN SHIELD / R5 FLOW;MAIN SHIELD;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;APHANITIC;AA;;;;;;;;WHOLE ROCK;;;;;;53.44;2.49;14.04;;;;5.1;;7.12;7.17;3.45;0.22;;;1.08;XRF;;;;;;;3.95;0.71;;;;;;1.02;;;;;;;;;;;;;;;;;;;25.1;INAA;;;;;;;7.2;INAA;;;;30.3;INAA;;;;;;;;;;;;;;;;;;26;XRF;;;282;XRF;;;;;;;453;XRF;;;;;;;;;;215;INAA;;;34;INAA;;;84;;;;;;12.8;INAA;;;3.65;;2.23;;;;;6.2;0.83;10.7;2.67;;;;;;;;;;4.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;[615] BAITIS H. W. (1980);samp. DH-8X;;GALAPAGOS ISLANDS / PINZON (DUNCAN) / MAIN SHIELD / R6 FLOW;MAIN SHIELD;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;PAHOEHOE;;;;;;;;WHOLE ROCK;;;;;;58.83;1.29;15.72;;;;2.27;;4.91;5.57;2.65;0.14;;;1.49;XRF;;;;;;;4.51;0.31;;;;;;2.55;;;;;;;;;;;;;;;;;;;13.9;INAA;;;;;;;10.3;INAA;;;;16.9;INAA;;;;;;;;;;;;;;;;;;29;XRF;;;258;XRF;;;;;;;433;XRF;;;;;;;;;;230;INAA;;;30.5;INAA;;;74;;;;;;8.8;INAA;;;2.46;;1.54;;;;;4.81;0.8;10.7;2.02;;;;;;;;;;5.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;[616] SWANSON F. J. (1974);samp. 8H;;GALAPAGOS ISLANDS / PINZON;PINZON;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;54.85;2.21;14.45;;;11.75;;;;6.86;3.19;0.21;;;1.38;XRF;;;;;;;3.85;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;[618] MCBIRNEY A. R. (1969);samp. 51;;GALAPAGOS ISLANDS / RABIDA (JERVIS);EASTERN SIDE OF CRATER;-0.4;-90.67;-0.4;-90.67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE, PIGEONITE;;;;;;;;;;WHOLE ROCK;;;;;;49.5;3.65;14.38;;;;5.51;;8.23;8;3.8;0.23;;;0.97;NOT;;;;;;;4.38;0.75;;0.63;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;[618] MCBIRNEY A. R. (1969);samp. 70;;GALAPAGOS ISLANDS / PINZON (DUNCAN);NORTHERN CALDERA;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;54.76;2.8;14.37;;;;4.43;;7.18;6.67;2.7;0.24;;;1.38;NOT;;;;;;;4.57;0.69;;0.79;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;[618] MCBIRNEY A. R. (1969);samp. 71;;GALAPAGOS ISLANDS / PINZON (DUNCAN);EASTERN CALDERA;-0.7;-90.7;-0.7;-90.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;56.34;1.93;14.02;;;;3.31;;8.73;6.54;2.71;0.17;;;1.33;NOT;;;;;;;4.54;0.65;;0.64;0.18;;;;;;;;;;;;;;;;;;;;;;23;AES;21.6;INAA;98;AES;;;17;AES;;;1600;27;AES;24;INAA;14;AES;;;54;AES;;;;;;;;;;;;;;250;AES;266;XRF;70;AES;;;570;AES;538;XRF;37;;;;;;1.4;285;AES;280;XRF;55;AES;47;INAA;;;;;;;13.6;INAA;;;3.4;;;;;;;;;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;[618] MCBIRNEY A. R. (1969);samp. 49;;GALAPAGOS ISLANDS / RABIDA (JERVIS);DOME NEAR CENTER OF ISLAND;-0.4;-90.67;-0.4;-90.67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;BLOCKY LAVA;;;;;;;;WHOLE ROCK;;;;;;59.64;1.74;14.61;;;;4.28;;3.88;4.68;2.1;0.14;;;1.96;NOT;;;;;;;4.24;0.47;;1.67;0.29;;;;;;;;;;;;;;;;;;;;;;16;AES;16;INAA;98;AES;;;10;AES;;;1150;18;AES;20.8;INAA;10;AES;;;33;AES;;;;;;;;;;;;;;235;AES;245;XRF;41;AES;;;480;AES;551;XRF;34;;;;;;1.1;300;AES;300;XRF;39;INAA;;;;;;;;;9.7;INAA;;;2.7;;;;;;;;;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;[618] MCBIRNEY A. R. (1969);samp. 50;;GALAPAGOS ISLANDS / RABIDA (JERVIS);LOWER SOUTHERN SLOPE OF DOME;-0.4;-90.67;-0.4;-90.67;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;PORPHYRITIC;;;;;;;;;WHOLE ROCK;;;;;;59.39;1.91;14.32;;;;2.6;;5.41;5.12;2.13;0.17;;;2.4;NOT;;;;;;;4.44;0.51;;1.68;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[627] GEIST D. J. (1995);samp. DG18;;GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO;;-0.41;-91.03;-0.41;-91.03;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;TEPHRA;;;;;;;;WHOLE ROCK;;;;;;53.2;2.01;15.18;;;10.55;;;;7.88;3.96;0.16;;;1.12;XRF;;;;;;;3.87;0.29;;;;;;1.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;INAA;;;;;;;;;;;;;;31;XRF;;;246;XRF;;;48;XRF;;;352;INAA;;;33;;;;;;;135;XRF;;;24.3;INAA;;;54.2;;30.9;INAA;;;7.62;INAA;;;2.2;8.09;1.25;;;;;3.87;0.59;7.3;1.9;;;;;;;;;;2.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;;
