Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);NIO(WT%);K2O(WT%);;;;;;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);LOI(WT%);K(WT%);;;;HE(CCMSTP/G);BE(PPM);F(PPM);;;;NE22(CCMSTP/G);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(MOL/G): altern. values or methods;;;;SC(PPM): altern. values or methods;;;;V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM);GE(PPM);AS(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM);MO(PPM);CD(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM);PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPT): altern. values or methods;;;;AU(PPB);TL(PPM);PB(PPM);BI(PPM);TH(PPM);U(PPM);ND143_ND144;SM147_ND144;SR87_SR86;RB87_SR86;PB206_PB204;PB207_PB204;PB208_PB204;PB208_PB206;HE3_HE4(R/R(A));AR38_AR36;AR40_AR36;KR78_KR84;KR80_KR84;KR82_KR84;KR83_KR84;KR86_KR84;XE124_XE132;XE126_XE132;XE128_XE132;XE129_XE132;XE130_XE132;XE131_XE132;XE134_XE132;XE136_XE132;TH230_TH232_ACT;U238_TH232_ACT;D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS CDT);DD(VS VSMOW);ALBITE(MOL%);ANORTHITE(MOL%);FORSTERITE(MOL%);MAGNETITE(MOL%);ORTHOCLASE(MOL%);ULVOSPINEL(MOL%);AGE(KA);AGE(MA);
1995;[627] GEIST D. J. (1995);samp. DG38;;GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO;;-0.41;-91.03;-0.41;-91.03;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;50.88;3.14;12.34;;;15.35;;;;7.59;3.86;0.26;;;1.13;XRF;;;;;;;3.69;1.5;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;INAA;;;;;;;;;;;;;;24;XRF;;;359;XRF;;;83;XRF;;;386;INAA;;;39;;;;;;;201;XRF;;;38.1;INAA;;;93.2;;63.2;INAA;;;16.22;INAA;;;5.33;17.05;2.45;;;;;6.11;0.9;8.5;2.4;;;;;;;;;;3.1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;[627] GEIST D. J. (1995);samp. DG39;6832;GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO;;-0.41;-91.03;-0.41;-91.03;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;53.78;2.76;12.9;;;13.77;;;;6.76;3.29;0.22;;;1.11;XRF;;;;;;;3.81;0.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;INAA;;;;;;;;;;;;;;30;XRF;;;328;XRF;;;70;XRF;;;521;INAA;;;47;;;;;;;183;XRF;;;33.4;INAA;;;78.3;;48.2;INAA;;;11.9;INAA;;;3.8;12.34;1.87;;;;;5.62;;11;2.6;;;;;;;;;;3.4;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;;;;;;;;;;;;
1995;[627] GEIST D. J. (1995);samp. H22;;GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO;;-0.41;-91.03;-0.41;-91.03;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;;;;;;WHOLE ROCK;;;;;;57.4;1.97;13.4;;;13.2;;;;5.57;2.01;0.31;;;1.43;XRF;;;;;;;4.75;0.87;;;;;;;;;;;;;;;;;;;;;;;;;31;INAA;;;;;;;80;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;380;XRF;;;24;XRF;;;165;INAA;;;17;;;;;;;70;XRF;;;64;INAA;;;135;;68;INAA;;;17.9;INAA;;;3.29;16.7;0.85;;;;;2.13;0.31;4;0.9;;;;;;;;;;0.8;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;[750] IMSLAND P. (1977);samp. 17;;BOUVET / BOUVET;WESTWIND STRANDA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;GLOMEROPORPHYRITIC;TRACHYTIC;;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;WHOLE ROCK;;;;;;60.05;1.11;15;;;;3.82;;5.46;3.98;1.05;0.25;;;2.89;XRF;;;;;;;5.1;0.28;1.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;AES;;;;;;;;;;;;1;AES;;;89;AES;;;;;;58;XRF;;;328;XRF;;;75;XRF;;;598;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;[750] IMSLAND P. (1977);samp. 18;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;GLOMEROPORPHYRITIC;TRACHYTIC;;;;;;;;WHOLE ROCK;;;;;;60.61;1.15;15.16;;;;1.43;;7.79;4.14;1.02;0.26;;;2.92;XRF;;;;;;;5.02;0.3;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;AES;;;;;;;;;;;;6;AES;;;93;AES;;;;;;47;XRF;;;341;XRF;;;71;XRF;;;570;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;WHOLE ROCK;;;;;;59.52;1.14;14.82;;;;2.55;;6.62;4.04;0.98;0.22;;;2.97;XRF;;;;;;;4.64;0.29;1.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;AES;;;18;AES;;;;;;;;;;;;2;AES;;;94;AES;;;;;;56;XRF;;;312;XRF;;;73;XRF;;;578;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;11;PHENOCRYST;;PRIMARY;60.41;0.05;23.98;;;;;0.41;;6.85;0.02;;;;0.7;EMP (EPMA);;;;;;;7.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.4;32.6;;;4;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;13;;;PRIMARY;61.84;0.02;23.04;0.02;;;;0.44;;5.25;0.03;;;;0.97;EMP (EPMA);;;;;;;7.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.8;26.4;;;5.8;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;28;MICROCRYST;;PRIMARY;63.34;0.16;20.79;;;;;1.29;;3.64;0.04;0.04;;;1.86;EMP (EPMA);;;;;;;8.07;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.4;17.8;;;10.8;;;;
1977;[750] IMSLAND P. (1977);samp. 18;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;GLOMEROPORPHYRITIC;TRACHYTIC;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;33;MICROPHENOCRYST;;PRIMARY;51.53;0.72;1.27;;;;;15.53;;17.68;12.01;0.65;;;0.02;EMP (EPMA);;;;;;;0.36;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;29;MICROPHENOCRYST;;PRIMARY;50.32;0.55;0.96;;;;;18.61;;18.24;9.05;0.66;;;0.01;EMP (EPMA);;;;;;;0.34;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;MINERAL / COMPONENT (INCL. GROUNDMASS);SPINEL;18;PHENOCRYST;;PRIMARY;0.14;23.39;1.71;0.02;;;21.09;70.56;51.56;;1.18;0.9;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.12;;68.88;;;
1977;[750] IMSLAND P. (1977);samp. 18;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;GLOMEROPORPHYRITIC;TRACHYTIC;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);SPINEL;21;PHENOCRYST;;PRIMARY;0.13;23.38;1.2;;;;21.83;71.52;51.85;;0.58;0.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.85;;68.15;;;
1977;[750] IMSLAND P. (1977);samp. 18;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;GLOMEROPORPHYRITIC;TRACHYTIC;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;34;PHENOCRYST;;PRIMARY;30.91;0.05;0.02;;;;;53.1;;;13.17;1.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.7;;;;;;
1977;[750] IMSLAND P. (1977);samp. 19;;BOUVET / BOUVET;LARSÖYA;-54.43;3.4;-54.43;3.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;"TRACHYTIC; GLASS IN MATRIX";;;;;;;ALTERATION OF GROUNDMASS TO SMECTITE;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;36;PHENOCRYST;;PRIMARY;32.9;0.08;0.03;0.02;;;0.02;52.64;0.4;;12.75;1.69;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.2;;;;;;
1982;[1055] GIRSON I. L. (1982);samp. 945;19803;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR, SUBAERIAL CLIFF SECTION;65.02;-14.3;65.02;-14.3;1042;1042;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;AAS;;;;;;;;3;AAS;;;15;AAS;;;138;AAS;;;;;;68;XRF;;;259;XRF;;;71;XRF;;;384;XRF;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 945;19803;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR, SUBAERIAL CLIFF SECTION;65.02;-14.3;65.02;-14.3;1042;1042;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;60.33;1.35;14.85;;;;6.8;9.31;3.1;5.12;1.63;0.15;;;2.17;AAS;;;;;;;3.75;0.6;;0.79;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 108.1;20020;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;630;630;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;57.21;1.77;15.1;;;;;9.71;;5.03;3.93;0.15;;;1.99;AAS;;;;;;;4.36;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 115.1;20029;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;682;682;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;58.23;1.76;15.06;;;;3.4;9.93;6.7;5.46;2.41;0.22;;;2.35;AAS;;;;;;;3.51;0.68;;1.9;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 142.2;20040;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;835;835;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;62.27;1.24;14.93;;;;9.2;8.35;;4.08;1.53;0.17;;;2.27;NOT;;;;;;;4.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 151.2;20046;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;891;891;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;59.37;1.64;14.46;;;;11.5;10.46;;5.98;2.13;0.24;;;1.86;NOT;;;;;;;3.64;;;1.42;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 154.1;20048;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;905;905;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;60.02;2.3;12.75;;;;4.6;10.3;5.8;5.28;2.88;0.2;;;1.8;AAS;;;;;;;3.97;;;2.23;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 183.1;19733;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1077;1077;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;60.32;1.73;15.48;;;;2.67;8.5;5.89;5.06;2.47;0.13;;;2.08;XRD;;;;;;;3.42;0.49;;2.18;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 184.2;20064;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1079;1079;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;60.91;1.7;14.99;;;;2.7;9.02;6.3;5.05;2.34;0.16;;;1.9;AAS;;;;;;;3.6;;;2.27;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 185.5;20066;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1091;1091;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;58.73;1.9;15.36;;;;3.57;8.74;5.33;6.01;2.82;0.17;;;1.89;XRD;;;;;;;3.53;0.45;;2.38;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 197.1;20069;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1154;1154;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;58.56;1.84;15.37;;;;8.25;10.06;2.23;3.03;2.35;0.17;;;2.71;XRD;;;;;;;4.17;0.83;;1.78;;0.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 198.1;19734;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1158;1158;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;58.24;1.7;14.84;;;;6.3;10.58;4.6;3.01;2.89;0.23;;;2.11;AAS;;;;;;;4.93;0.77;;2.51;;0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 200.1;20071;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1165;1165;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;67.1;1.74;11.89;;;;11.1;10.15;;2.49;1.69;0.11;;;0.14;NOT;;;;;;;4.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1056] FLOWER M. F. J. (1982);samp. 210.2;20077;ICELAND / ICELAND;ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR;65.02;-14.3;65.02;-14.3;;;DRILL HOLE ;1229;1229;SUBAERIAL;VOLCANIC ROCK;ICELANDITE;;;;;CENOZOIC;;;;;WHOLE ROCK;;;;;;57.82;1.93;15.35;;;;4.2;9.95;5.88;6.17;2.9;0.22;;;1.02;XRD;;;;;;;3.27;0.88;;2.53;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
