"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","NB2O5(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","BE(PPM)","AR40(CCMSTP/G)","AR40(MOL/G)","AR40(PPB)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","AG(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM): altern. values or methods","","","","HF(PPM): altern. values or methods","","","","TA(PPM)","W(PPM)","W(PPB)","RE(PPB)","OS(PPB)","PB(PPM)","PB(PPB)","BI(PPM)","TH(PPM)","TH228_ACT(BQ/KG)","TH230_ACT(BQ/KG)","U(PPM): altern. values or methods","","","","ND143_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB207_PB204","PB208_PB204","OS187_OS188","RE187_OS188","HF176_HF177","LU176_HF177","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_TH232_ACT","D18O(VS SMOW)","ENSTATITE(MOL%)","FAYALITE(MOL%)","FORSTERITE(MOL%)","FERROSILITE(MOL%)","KALSILITE(MOL%)","NEPHELINE(MOL%)","QUARTZ(MOL%)","ULVOSPINEL(MOL%)","WOLLASTONITE(MOL%)","AGE(KA)","AGE(MA): altern. values or methods","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-101","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","BIOTITE","","CORE","PRIMARY","39.32","6.32","","10.84","","","","","","6.58","","0.05","19.59","0.1","3.04","","","","8.81","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-78","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","SPINEL","","","PRIMARY","0.13","4.11","","25.01","25.47","","","","","32.65","","0.1","10.15","0.35","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-100","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","PRIMARY","43.11","0.13","","32.56","","","","1.86","","","","0.93","0.1","0.02","","","","","7.63","12.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-101","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","NEPHELINE","","","PRIMARY","42.03","0.08","","33.25","","","","1.61","","","","","0.13","","","","","","9.01","13.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [1498] MARQUES L. S. (1999)","samp. TR-78","","TRINDADE-VITORIA RISE / TRINDADE","","-20.5","-29.3","-20.5","-29.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","LEUCITE","","","PRIMARY","54.74","0.3","","23.72","","","","0.38","","","","0.1","","0.01","0.09","","","","20.94","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1965"," [2110] ALLEN J. B. (1965)","samp. 3297","","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA","AULUTA RIVER","-7.94","160.79","-9.25","161.91","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","","","","","","","","WHOLE ROCK","","","","","37.78","2.88","","8.42","0.1","","0.008","","5.22","","6.99","12.36","17.7","0.24","0.12","0.04","","","1.3","0.81","0.86","","4.1","1.08","0.18","0.24","0.02","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1933"," [2153] DUNHAM K. C. (1933)","samp. 1","","HAWAIIAN ISLANDS / KAUAI / KAUAI","ALEXANDER DAM EXCAVATION","22","-159.5","22","-159.5","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","","CRYSTALS IN CAVATIES","","","","","EXTENSIVELY ALTERED","HYDROTHERMAL ALTERATION","MINERAL / COMPONENT (INCL. GROUNDMASS)","ALLOPHANE","","","SECONDARY","30.2","","","40.3","","","","","","","","","1.8","","","","","","","","","27.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1958"," [2447] DE ALMEIDA F. F. M. (1958)","samp. 28","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA","EAST OF TAMANDARE, EDGE OF CRATER","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","PORPHYRITIC","","","","","","","","WHOLE ROCK","","","","","41.58","3.15","","11.86","","","","","7.84","","5.08","11.14","9.7","0.18","","","","","0.5","3.59","1.08","","","1.7","","","","","","","2.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1958"," [2447] DE ALMEIDA F. F. M. (1958)","samp. 29","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA","","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","PORPHYRITIC","","","","","","","","WHOLE ROCK","","","","","39.96","3.03","","9.75","","","","","5.98","","7.61","14.04","12.95","","","","","","0.94","2.86","0.79","","1.78","0.35","","","0.07","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1958"," [2447] DE ALMEIDA F. F. M. (1958)","samp. 30","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA","PONTINHA","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE","PORPHYRITIC","","","","","","","","WHOLE ROCK","","","","","38.42","4.01","","13.55","","","","","3.32","","9.4","11.75","12.54","0.21","","","","","0.86","3.72","1.01","","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1958"," [2447] DE ALMEIDA F. F. M. (1958)","samp. 31","","FERNANDO DE NORONHA ARCHIPELAGO / FERNANDO DE NORONHA","COAST EAST OF CAPIM ACU PT.","-3.85","-32.42","-3.85","-32.42","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","ANKARATRITE, MELILITE","PORPHYRITIC","","","","","","","","WHOLE ROCK","","","","","34.6","2.6","","11.9","","","","","5.24","","9.77","11.2","14.41","0.18","","","","","1.87","4.68","1.04","","0.84","1.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
