"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","S(PPM)","CL(PPM)","AR40(AT/G)","AR40(CCMSTP/G)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","ND143_ND144_INI","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","AR40_AR39","D18O(VS SMOW)","D18O(VS VSMOW)","ALBITE(MOL%)","ANORTHITE(MOL%)","ENSTATITE(MOL%)","FERROSILITE(MOL%)","ORTHOCLASE(MOL%)","WOLLASTONITE(MOL%)","AGE(MA): altern. values or methods","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. G.87","23014","ICELAND / ICELAND / THINGMULI","","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF ACID LAVA","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","1G","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","2.6","13","80","","","","170","","","600","","","0.1","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. H.98","23819","ICELAND / ICELAND / THINGMULI","","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY TOP OF ACID LAVA","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","","","","","","","","","","","","0.2","13","150","","","1.2","130","","","390","","2.6","0.29","","4.5","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. P.258","22533","ICELAND / ICELAND","SKRUDHUR","64.92","-13.67","64.92","-13.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360","","","","","","","","","","","","1.1","0.5","5","185","","","1.3","100","","","650","","2.9","0.25","","4","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. P.258","22533","ICELAND / ICELAND","SKRUDHUR","64.92","-13.67","64.92","-13.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","3G","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.7","6","200","","","","120","","","825","","","0.24","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. P.408","23822","ICELAND / ICELAND","BERUFJORDUR","64.7","-14.5","64.7","-14.5","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY TOP OF ACID LAVA","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","","","","","","","","","","","","0.9","0.9","8","155","","","1.3","120","","","410","","3","0.2","","2","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. G.151","23016","ICELAND / ICELAND / THINGMULI","DIKE","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY MARGIN","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","","","","","","","","","","","","2.1","0.9","9","105","","","3.3","","","","","","2.9","0.19","","1.6","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. G.151","23016","ICELAND / ICELAND / THINGMULI","DIKE","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY MARGIN","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","6G","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","7","80","","","","","","","","","3","0.15","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. H.49","23820","ICELAND / ICELAND / THINGMULI","","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","VESICULAR","PITCHSTONE, CONE_SHEET","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","","","","","","","","","","","","0.3","0.2","9","115","","","1.9","150","","","130","","2.7","0.2","","3.2","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. E.868","23015","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF PLUG","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","","","1.3","0.9","11","152","","","2.1","125","","","620","","3","0.23","","1.6","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. E.868","23015","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF PLUG","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","9G","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.7","9","148","","","","125","","","580","","3.1","0.25","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. E.663","23825","ICELAND / ICELAND","SKALANES, SEYDISFJORDUR","64.7","-14.5","64.7","-14.5","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, TOP OF ACID LAVA","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","","","","","","","","","","","","1.4","0.2","6","95","","","1.5","95","","","350","","3.4","0.15","","3.7","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. P.127","23826","ICELAND / ICELAND","KÖTTUR, FASKRUDSFJORDUR","64.7","-14.5","64.7","-14.5","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, TOP OF ACID LAVA","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","","","","","","","","","","2.7","0.6","8","135","","","1.8","175","","","320","","2.1","0.19","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. P.186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","","","","","","","","","","","","1","0.4","9","100","","","1","100","","","360","","2.4","0.23","","1.7","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. P.186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF INTRUSION","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GLASS","12G","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","9","95","","","","105","","","250","","","0.24","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1961"," [2051] CARMICHAEL I. S. E. (1961)","samp. G.239","23821","ICELAND / ICELAND / THINGMULI","DIKE","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, ACID DIKE","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","","","","0.6","0.4","7","90","","","1.8","105","","","310","","2.3","0.17","","1.6","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1962"," [2070] WALKER G. P. L. (1962)","samp. E.881","","ICELAND / ICELAND","N FACE OF SKESSA","65","-13.9","65","-13.9","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, GLASSY BASE OF WELDED TUFF","CENOZOIC","","VOLCANIC GLASS","","","","","67.9","0.3","11.6","","","","1.2","","2.12","2.7","0.3","0.11","","","2.56","2.97","0.04","","5.42","2.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1958"," [2745] SUKHESWALA R. N. (1958)","samp. BOR","","DECCAN / SOUTHERN DECCAN","BORIVLI, SALSETTE ISLAND","19","72.75","19.3","72.92","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","65.26","0.79","12.65","","","","3.23","","3.27","2.4","0.38","0.11","","","4.28","3.62","0.07","","2.42","1.85","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1940"," [2943] SHEPHERD E. S. (1940)","samp. 15","","RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / CERRO NO AGUA","","37","-105","37","-105","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","0.152","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1962"," [3408] KAWADA G. (1962)","samp. 56428-8","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / TOYOOKA FORMATION","KAWAE, HIDAKA-MACHI, HYOGO PREFECTURE, TOTTORI","34.5","134.3","35.5","135.3","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","70.6","0.09","11.5","","","","0.59","","0.62","1","0.1","0.04","","","1.71","4.1","0.08","","7.49","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES1","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","22.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7237","14.65","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES1","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","FELDSPAR","","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71414","1.79","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES1","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136","10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73928","34.97","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES2","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","32.9","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7","5.8","","","","","","","0.71928","8.96","","16.03","","15.084","","35.862","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES3","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","31.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71973","9.38","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES3","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","FELDSPAR","","","PRIMARY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","95.6","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","","","","","","","","0.71383","1.29","16.026","","","15.079","","35.824","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES3","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","14.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7312","24.57","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ES4","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","31.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7207","10.63","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. RT1","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","EIGG, W DIKE RUBH AN TANGAIRD","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, DIKE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","23.6","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8","6.4","","","","","","0.51218","0.71455","11.09","","18.032","","15.427","","37.579","","","","","","","","","","","","","","","","","",
"1983"," [3485] DICKIN A. P. (1983)","samp. ENP","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","EIGG, NORTH PIER","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","345","","","","","","","","","","","","","68","12.7","","","","","","","","","","","","","","","","","","","","0.51144","0.7094","0.7","","15.826","","15.037","","35.805","","","","","","","","","","","","","","","","","",
"1971"," [3494] RIDLEY W. I. (1971)","samp. EP24","82031","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","EIGG, DIKE, RUDH AN TANCAIRD","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","66.36","0.49","12.48","","","","0.52","","5.46","1.67","0.77","0.22","","","2.16","4.46","0.19","4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1971"," [3494] RIDLEY W. I. (1971)","samp. EP24G","82032","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","EIGG, DIKE, RUDH AN TANCAIRD","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","67.21","0.43","12.68","","","","0","","5.2","0.82","0.03","0.2","","","2.56","3.4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1971"," [3494] RIDLEY W. I. (1971)","samp. E28","82034","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","VOLCANIC GLASS","","","","","61.53","0.48","15.14","","","","0.4","","5.82","3.16","1.62","0.12","","","4.15","4.27","0.23","3.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1971"," [3494] RIDLEY W. I. (1971)","samp. E28","82034","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","CLINOPYROXENE","","","PRIMARY","51.95","0.74","1.86","","","","","10.72","","19.01","14.8","0.69","","","","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1971"," [3494] RIDLEY W. I. (1971)","samp. E28","82034","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","ORTHOPYROXENE","","","PRIMARY","53.82","0.33","0.62","","","","","18.96","","1.58","24.2","1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1971"," [3494] RIDLEY W. I. (1971)","samp. E21","","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","CENOZOIC","","MINERAL / COMPONENT (INCL. GROUNDMASS)","CLINOPYROXENE","","","PRIMARY","47.36","0.38","0.22","","","","","31.37","","18.39","0.07","1.41","","","","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [3512] SHIMODA G. (1999)","samp. SD801","39191","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHODO-SHIMA / KANKAKEI FORMATION","MITO PENINSULA, SETOUCHI VOLCANIC BELT","34.45","134.17","34.45","134.17","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","MIOCENE","","VOLCANIC GLASS","","","","","72.68","0.05","15.17","","","1.02","","","","1.77","0.16","0.08","","","3.67","3.79","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","209","197","5","71","7","","","","","","390","","","","","","","","","","","","","","","","","","36","12","","","","","0.512567","","0.70606","","18.381","","15.59","","38.59","","","","","","","","","","","","","","","","","","",
"1999"," [3512] SHIMODA G. (1999)","samp. SD802","39192","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHODO-SHIMA / KANKAKEI FORMATION","MITO PENINSULA, SETOUCHI VOLCANIC BELT","34.45","134.17","34.45","134.17","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","MIOCENE","","VOLCANIC GLASS","","","","","72.51","0.06","14.9","","","1.28","","","","1.61","0.18","0.08","","","3.71","3.79","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","208","186","6","68","7","","","","","","380","","","","","","","","","","","","","","","","","","36","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [3512] SHIMODA G. (1999)","samp. SD809","","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHODO-SHIMA / KANKAKEI FORMATION","MITO PENINSULA, SETOUCHI VOLCANIC BELT","34.45","134.17","34.45","134.17","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","MIOCENE","","VOLCANIC GLASS","","","","","71.81","0.05","14.98","","","1","","","","1.74","0.16","0.08","","","3.59","3.88","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","182","215","7","71","7","","","","","","387","","","","","","","","","","","","","","","","","","37","10","","","","","0.51261","","0.70606","","18.38","","15.588","","38.582","","","","","","","","","","","","","","","","","","",
"1999"," [3512] SHIMODA G. (1999)","samp. SD810","46059","HONSHU ARC / SOUTHWESTERN HONSHU ARC / SHODO-SHIMA / UCHINOMI FORMATION","SETOUCHI VOLCANIC ROCKS, SETO VOLCANOCLASTICS","34.45","134.17","34.45","134.17","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","MIOCENE","","VOLCANIC GLASS","","","","","71.66","0.05","14.92","","","0.98","","","","1.72","0.16","0.08","","","3.75","3.66","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","210","194","6","74","7","","","","","","379","","","","","","","","","","","","","","","","","","36","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
