"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","S(WT%)","LOI(WT%)","K(WT%)","LI(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","S(PPM)","CL(PPM)","AR40(AT/G)","AR40(CCMSTP/G)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM): altern. values or methods","","","","ND143_ND144","ND143_ND144_INI","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","AR40_AR39","D18O(VS SMOW)","D18O(VS VSMOW)","ALBITE(MOL%)","ANORTHITE(MOL%)","ENSTATITE(MOL%)","FERROSILITE(MOL%)","ORTHOCLASE(MOL%)","WOLLASTONITE(MOL%)","AGE(MA): altern. values or methods","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. E868","","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PLAGIOCLASE","","PHENOCRYST","PRIMARY","66.08","","20.27","","","","0.42","","","1.58","","","0.3","","2.36","9.11","","","0.17","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.4","7.8","","","14","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. H270","","ICELAND / ICELAND","WEST VIKURFJALL, LON","66.1","-16.9","66.1","-16.9","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","PORPHYRITIC","PITCHSTONE","","","VOLCANIC GLASS","","","","","70.3","0.18","12.3","","","","0.3","","1.7","0.92","0.02","0.07","","","3.5","4.9","0.02","","5.3","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. P186","17749","ICELAND / ICELAND","BONDOLFUR","65","-14","65","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","74.2","0.19","11.6","","","","0.6","","1","0.71","0.04","0.05","","","4.2","4.3","0.04","","2.8","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. P258","22533","ICELAND / ICELAND","SKRUDHUR","64.92","-13.67","64.92","-13.67","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","67","0.55","12.2","","","","1.2","","3.9","1.4","0.32","0.2","","","4.4","3.9","0.11","","4.3","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. E868","","ICELAND / ICELAND","SELLATUR PLUG","64.9","-14","64.9","-14","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","VOLCANIC GLASS","","","","","71.5","0.22","12.2","","","","0.9","","1.7","0.62","0.21","0.09","","","3.5","5","0.02","","4.1","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. EC20","146398","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","(AL)KALIFELDSPAR","","","PRIMARY","64.58","","20.3","","","0.43","","","","1.26","","","","","7.12","6.06","","","0.24","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.5","6.1","","","42.4","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. EC20","146398","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","(AL)KALIFELDSPAR","","","PRIMARY","64.48","","19.45","","","0.02","","","","0.45","","","","","11","3.74","","","0.88","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.7","2.2","","","66.1","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. EC20","146398","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","PLAGIOCLASE","","","PRIMARY","","","","","","","","","","2.72","","","","","1.11","7.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.7","15.5","","","7.8","","","","","","","","","",
"1963"," [1633] CARMICHAEL I. S. E. (1963)","samp. EC20","146398","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE","ISLE OF EIGG, SGURR OF EIGG","56.87","-6.1","56.95","-6.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","GROUNDMASS","","","PRIMARY","69.4","0.59","14.3","","","","1.31","","1","0.92","0.41","0.11","","","5.9","4.7","0.1","","1.4","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1960"," [1737] CARMICHAEL I. S. E. (1960)","samp. G.87","23014","ICELAND / ICELAND / THINGMULI","","65.03","-14.63","65.03","-14.63","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","PITCHSTONE","","PITCHSTONE, MARGIN OF ACID LAVA","","","VOLCANIC GLASS","","","","","69.2","0.5","12","","","","2.2","","1.4","2.2","0.59","0.12","","","1.6","4.1","0.08","","3.8","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
