Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CUO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);;;;CL(WT%);SO3(WT%);S(WT%);LOI(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);;;;CR(WT%);HE4(CCMSTP/G);;;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);;;;;;P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);;;;;;AR39(MOL/G);AR40(AT/G): altern. values or methods;;;;;;AR40(CCMSTP/G): altern. values or methods;;;;AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM): altern. values or methods;;;;W(PPM): altern. values or methods;;;;OS(PPB);IR(PPB);PT(PPB);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;;;PB210_ACT(DPM/G): altern. values or methods;;;;BI(PPM);RA226(PPQ);RA226_ACT(DPM/G): altern. values or methods;;;;TH(PPM): altern. values or methods;;;;TH232(PPM);U(PPM): altern. values or methods;;;;U238(PPM);ND143_ND144: altern. values or methods;;;;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86: altern. values or methods;;;;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;OS187_OS188;HF176_HF177;HF178_HF177;EPSILON_HF_INI;LU176_HF177;YB176_HF177;HE3_HE4(R/R(A));HE4_HE3;AR36_AR39;AR37_AR39;AR38_AR36: altern. values or methods;;;;;;AR38_AR39;AR40_AR36: altern. values or methods;;;;;;AR40_AR39;AR40_K40;NE20_NE22: altern. values or methods;;;;;;NE21_NE22: altern. values or methods;;;;;;PB206_U238;PB207_U235;PB210_RA226: altern. values or methods;;;;RA226_TH230;RA226_TH230_ACT;RA226_U238;RA228_TH232;PA231_U235_ACT;TH228_TH232;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;CL36_CL;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);CELSIAN(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);KALSILITE(MOL%);LARNITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);TSCHERMAKITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
1968;[839] MACDONALD G. A. (1968);samp. C-160;;HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / POST-SHIELD STAGE / UPPER MEMBER OF EAST MOLOKAI SERIES;WAWAIA GULCH, 1000 FEET UPSTREAM FROM HIGHWAY;21.18;-156.95;21.18;-156.95;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;FRESH;;WHOLE ROCK;;;;;;;;;;48.75;2.9;;;;16.94;;;;;;;;;;;2.59;;8.35;7.29;4.18;0.21;;;;;;;1.83;NOT;;;5.03;NOT;;;;;1.28;;0.3;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;[839] MACDONALD G. A. (1968);samp. C-208;;HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES;QUARRY ABOVE OLD ROAD FROM KAMUELA TO HONOKAA, ON HEAD OF KAWAIKALIA STREAM, 0.7 MILE E OF BENCHMARK 2765;19.6;-155.7;19.6;-155.7;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;54.59;1.44;;;;17;;;;;;;;;;;3.09;;6.44;5.03;2.35;0.22;;;;;;;2.76;NOT;;;5.88;NOT;;;;;1.04;;0.46;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;[839] MACDONALD G. A. (1968);samp. C-210;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;HIGHWAY CUT NORTHWEST OF PUU LOA, AT HEAD OF FIRST GULCH NORTH OF KAWAIHAE GULCH;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;51.8;1.95;;;;17.07;;;;;;;;;;;3.12;;6.93;6.01;3.1;0.22;;;;;;;2.23;NOT;;;5.78;NOT;;;;;1.54;;0.48;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;[839] MACDONALD G. A. (1968);samp. C-211;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;300 FEET UPSLOPE FROM ROAD, DUE WEST OF PUU HONU;20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;48.8;2.54;;;;15.77;;;;;;;;;;;5.06;;6.41;7.21;3.91;0.22;;;;;;;1.93;NOT;;;5.38;NOT;;;;;1.96;;0.53;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;[839] MACDONALD G. A. (1968);samp. C-212;;HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES;GULCH BELOW ROAD, 0.5 MILE SOUTHEAST OF PUU AIEA, (FLOW FROM PUU PILI);20.23;-155.8;20.23;-155.8;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;48.93;2.62;;;;15.85;;;;;;;;;;;5.13;;6.99;7.27;3.8;0.22;;;;;;;1.98;NOT;;;5.45;NOT;;;;;1.97;;0.24;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;[869] STAUDIGEL H. (1984);samp. 471;;CANARY ISLANDS / LA PALMA / SEAMOUNT SERIES;UPPER WATER CHANNEL ON SOUTHEASTERN FLANK OF BARRANCO DE LAS ANGUSTIAS, UNIT 20;28.67;-17.9;28.67;-17.9;410;410;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;SUBOPHITIC GROUNDMASS;;;;PLIOCENE;;;;;EXTENSIVELY ALTERED;LOW-TEMPERATURE ALTERATION AND GREENSCHIST-FACIES METAMORPHISM;WHOLE ROCK;;;;;;;;;;50.3;3.1;;;;14.96;;;;;;;;;;;4.7;;5.11;7.27;3.32;0.16;;;;;;;1.5;XRF;;;5.23;AAS;;;;;0.96;;2.59;;1.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;XRF;;;;32;XRF;;;13;XRF;;;40;XRF;;;120;XRF;;;;;;;;;;;23;XRF;;;478;XRF;;;38;XRF;;;287;XRF;;;81;XRF;;;;;;;;;;;;;;;318;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;[869] STAUDIGEL H. (1984);samp. 465;;CANARY ISLANDS / LA PALMA / SEAMOUNT SERIES;BARRANCO DE LAS ANGUSTIAS, BOTTOM, UNIT 20;28.67;-17.9;28.67;-17.9;375;375;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;INTERSERTAL/SUBOPHITIC GROUNDMASS;CLAST FROM BRECCIA;;;PLIOCENE;;;;;EXTENSIVELY ALTERED;LOW-TEMPERATURE ALTERATION AND GREENSCHIST-FACIES METAMORPHISM;WHOLE ROCK;;;;;;;;;;49.2;1.97;;;;15.64;;;;;;;;;;;4.62;;3.42;8.99;2.24;0.08;;;;;;;0.07;XRF;;;6.84;AAS;;;;;0.57;;1.99;;6.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;XRF;;;;17;XRF;;;40;XRF;;;30;XRF;;;33;XRF;;;;;;;;;;;3;XRF;;;493;XRF;;;33;XRF;;;409;XRF;;;60;XRF;;;;;;;;;;;;;;;55;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;[869] STAUDIGEL H. (1984);samp. 122;;CANARY ISLANDS / LA PALMA / SEAMOUNT SERIES;BARRANCO DE LAS ANGUSTIAS, BOTTOM, UNIT 19;28.67;-17.9;28.67;-17.9;276;276;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;TACHYLITIC GROUNDMASS;;;;PLIOCENE;;;;;EXTENSIVELY ALTERED;LOW-TEMPERATURE ALTERATION AND GREENSCHIST-FACIES METAMORPHISM;WHOLE ROCK;;;;;;;;;;47.5;3.45;;;;14.98;;;;;;;;;;;3.97;;7.45;6.3;6.63;0.19;;;;;;;0.16;XRF;;;4.98;AAS;;;;;0.54;;3.97;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[900] HOERNLE K. A. (1991);samp. RNB36;;CANARY ISLANDS / GRAN CANARIA / POST-SHIELD STAGE / ROQUE NUBLO FORMATION;;28;-15.6;28;-15.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;PLIOCENE;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.12;TIMS_ID;;;1739;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.98;TIMS_ID;;;14.79;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.98;TIMS_ID;;;;;;;;;;;;;;;11.3;TIMS_ID;;;;2.96;TIMS_ID;;;;;;;;0.512755;;;;;;;;0.703273;;;;;;;18.979;;;;;15.511;;;;;;38.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[900] HOERNLE K. A. (1991);samp. H1384;;CANARY ISLANDS / GRAN CANARIA / HOGARZALES FORMATION;;28;-15.6;28;-15.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;MIOCENE;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.57;TIMS_ID;;;774.8;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.73;TIMS_ID;;;15.2;TIMS_ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.47;TIMS_ID;;;;;;;;;;;;;;;4.39;TIMS_ID;;;;1.63;TIMS_ID;;;;;;;;0.512895;;;;;;;;0.703337;;;;;;;19.577;;;;;15.591;;;;;;39.283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;[1032] O^NIONS R. K. (1973);samp. VE-111;21723;ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL;;63.44;-20.28;63.44;-20.28;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;LAVA;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7033;TIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;[1032] O^NIONS R. K. (1973);samp. VE-112;19187;ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL;;63.44;-20.28;63.44;-20.28;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;TEPHRA;;;HOLOCENE;;23;1;1973;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.58;NOT;;;;45.92;NOT;;;11.51;NOT;;;3.24;NOT;;;10.7;;;;;10.56;;6.05;;5.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.70329;TIMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;[1034] MÜHLENBACHS K. (1973);samp. VE112;19187;ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL;;63.44;-20.28;63.44;-20.28;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;PUMICE;;;HOLOCENE;;23;1;1973;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;[1034] MÜHLENBACHS K. (1973);samp. VE111;21723;ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL;;63.44;-20.28;63.44;-20.28;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;FIRST LAVA;;;HOLOCENE;;23;1;1973;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;[1034] MÜHLENBACHS K. (1973);samp. VE110;18342;ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL;;63.44;-20.28;63.44;-20.28;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;BOMB;;;HOLOCENE;;23;1;1973;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;[1061] OSKARSSON N.(1982)  [GeoReM [3607] ];samp. VMG9;18231;ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY;;63.441;-20.281;63.441;-20.281;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;HOLOCENE;;;;1973;;;WHOLE ROCK;;;;;;;;;;48.4;3.08;;;;16.55;;;;;;;;;;;2.34;;10.67;7.6;4.06;0.23;;;;;;;1.04;NOT;;;4.92;NOT;;;;;0.49;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;813;;;;;;;;;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;XRF;;;;;;;;16;XRF;;;55;XRF;;;148;XRF;;;;;;;;;;;21;XRF;;;320;XRF;;;50;XRF;;;294;XRF;;;;;;;;;;;;;;;;;;;264;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
