"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2OP(WT%)","H2OM(WT%)","CL(WT%)","SO3(WT%)","K(WT%)","AR40(CCMSTP/G)","MN(PPM)","RB(PPM)","SR(PPM)","LA(PPM)","CE(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","DY(PPM)","ER(PPM)","YB(PPM)","LU(PPM)","SR87_SR86","AGE(KA)",
"1980"," [551] TERAKADO Y. (1980)","samp. I-70","","SOCIETY ISLANDS / TAHITI","","-17.752","-149.242","-17.783","-149.332","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","APHYRIC","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","120.6","273","116.9","22.4","6.02","15.5","10.9","4.39","3.44","0.472","","",
"1980"," [551] TERAKADO Y. (1980)","samp. I-53","17613","SOCIETY ISLANDS / TAHITI / TAHITI-NUI","","-17.7","-149.45","-17.7","-149.45","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","","","98.7","223.3","84.8","15.3","5","12.1","9.17","4.58","3.7","0.502","","",
"1974"," [569] BROUSSE R. (1974)","samp. 2S","","SOCIETY ISLANDS / TAHITI / TAHITI-NUI","POINTE TAPAHI","-17.62","-149.47","-17.62","-149.47","50","50","OUTCROP","SUBAQUATIC","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","","2.79","","8.62","","","","","","","","","","","","","","","2350","","","","","","","","","","","","","","",
"1974"," [569] BROUSSE R. (1974)","samp. 2J","","SOCIETY ISLANDS / TAHITI / TAHITI-ITI","HAAVINI VALLEY","-17.8","-149.2","-17.8","-149.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","","2.72","","7.26","","","","","","","","","","","","","","","2360","","","","","","","","","","","","","","",
"1972"," [861] MIDDLEMOST E. A. K. (1972)","samp. 20006","","CANARY ISLANDS / GRAN CANARIA","NAMBROQUE","28","-15.6","28","-15.6","580","580","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","47.7","2.44","17.3","","8.54","","7.3","2.74","0.2","3.41","7.49","0.72","","","","","","","","","","","","","","","","","","","","","",
"1975"," [1251] DYMOND J. (1975)","samp. I-53","17613","SOCIETY ISLANDS / TAHITI / TAHITI-NUI","","-17.7","-149.45","-17.7","-149.45","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","","","","","","","","","","","","","","","","","3.14","8.16E-08","","","","","","","","","","","","","","","650",
"1968"," [1394] MCBIRNEY A. R. (1968)","samp. 70","","SOCIETY ISLANDS / TAHITI / TAIARAPU","VAITEPIHA RIVER","-17.8","-149.2","-17.8","-149.2","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","APHYRIC","WHOLE ROCK","48.89","2.46","16.92","3.44","","6.74","5.85","3.3","0.13","4.28","4.76","1.91","0.49","0.06","","","","","","","","","","","","","","","","","","","",
"1968"," [1394] MCBIRNEY A. R. (1968)","samp. 53","","SOCIETY ISLANDS / TAHITI / TAHITI-NUI","ARUE, NORTHERN COAST OF TAHITI-NUI","-17.62","-149.47","-17.62","-149.47","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","48.5","2.68","17.53","4.43","","3.73","6.21","4.32","0.12","3.54","6.79","0.62","0.91","0.47","","","","","","","","","","","","","","","","","","","",
"1978"," [2048] HEDGE C. E. (1978)","samp. 10","","SOCIETY ISLANDS / TAHITI","","-17.58","-149.43","-17.58","-149.43","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","87","1500","","","","","","","","","","","0.7056","",
"1978"," [2048] HEDGE C. E. (1978)","samp. 11","","SOCIETY ISLANDS / TAHITI","","-17.58","-149.43","-17.58","-149.43","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","","","","","","","","","","","","","","","","","","","","116","2100","","","","","","","","","","","0.7043","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 1","","CAMEROON LINE / SAO TOME","CAO PEQUENO","0.42","6.58","0.42","6.58","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","54.24","0.64","21.96","1.64","","2.15","3.38","0.45","0.14","4.53","9.16","0.1","0.64","0.65","0.02","0.18","","","","","","","","","","","","","","","","","",
"1970"," [2582] MITCHELL-THOME R. C. (1970)","samp. 2","","CAMEROON LINE / SAO TOME","","0.42","6.58","0.42","6.58","","","OUTCROP","SUBAERIAL","VOLCANIC ROCK","TAHITITE","","WHOLE ROCK","50.4","2.64","18.78","2.83","","3.06","5.7","1.67","0.2","6.15","5.07","0.36","2.86","0.71","","","","","","","","","","","","","","","","","","","",

Download from GEOROC - Geochemical Database
Date of Query: Friday, April 11, 2025
Please note: There is a List of your Query Criteria at the End of this Sheet.


References:
"[551] TERAKADO Y.:   FINE STRUCTURES OF RARE EARTH ELEMENT PATTERNS OF TAHITIAN ROCKS |  GEOCHEM. J. 14    [1980]  155-166  | doi: 10.2343/geochemj.14.155"
"[569] BROUSSE R., GUERIN H.:   DISTRIBUTION OF MANGANESE COMPARED TO THAT OF IRON AND TITANIUM IN THE LAVA OF THE SOCIETY AND GAMBIER ISLANDS |  CAH. PACIFIQUE 18    [1974]  283-289 "
"[861] MIDDLEMOST E. A. K.:   EVOLUTION OF LA PALMA, CANARY ARCHIPELAGO |  CONTRIB. MINERAL. PETROL. 36    [1972]  33-48  | doi: 10.1007/BF00372833"
"[1251] DYMOND J.:   K-AR AGES OF TAHITI AND MOOREA, SOCIETY ISLANDS, AND IMPLICATIONS FOR THE HOT-SPOT MODEL |  GEOLOGY 3    [1975]  236-240  | doi: 10.1130/0091-7613(1975)3<236:KAOTAM>2.0.CO;2"
"[1394] MCBIRNEY A. R., AOKI K.-I.:   PETROLOGY OF THE ISLAND OF TAHITI |  MEM. GEOL. SOC. AM. 116    [1968]  523-556  | doi: 10.1130/MEM116-p523"
"[2048] HEDGE C. E.:   STRONTIUM ISOTOPES IN BASALTS FROM THE PACIFIC OCEAN BASIN |  EARTH PLANET. SCI. LETT. 38    [1978]  88-94  | doi: 10.1016/0012-821X(78)90127-9"
"[2582] MITCHELL-THOME R. C.:   GEOLOGY OF THE SOUTH ATLANTIC ISLANDS |   [1970]  1-350 "

Criteria:
QUERY - BY - PETROGRAPHY: -  - - - VOLCANIC - ROCKS - - - TAHITIT.../ - - - SAMPLE - CRITERIA - (COMBINED - WITH - OR): - - - SAMPLE - NAME: - 1 - / - 10 - / - 11 - / - 2 - / - 20006 - / - 2J - / - 2S - / - 53 - / - 70 - / - I-53 - / - I-70 - - - SAMPLING - TECHNIQUE: - OUTCROP - - - ROCK - TYPE: - VOLCANIC - ROCK - - - ELEVATION - (MIN.): - 50,580 - - - ELEVATION - (MAX.): - 50,580 - - - LAND/SEA - (SAMPLING): - SUBAERIAL - / - SUBAQUATIC - - - ROCK - NAME: - TAHITITE - - - TYPE - OF - MATERIAL: - WHOLE - ROCK - 
