Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;TYPE OF MATERIAL;MINERAL / COMPONENT;CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);NA(WT%);P(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);K(PPM);SC(PPM);TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM);ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM): altern. values or methods;;;;ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);W(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB(PPB);BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;RB87_SR86;PB206_PB204;PB207_PB204;PB207_PB206;PB208_PB204;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;PO210_RA226_ACT_INI;TH230_TH232_ACT;TH230_U238_ACT;U238_TH232_ACT;D11B(VS NBS951);D18O(VS VSMOW);D34S(VS CDT);D44_40CA(VS SRM915A);D44_42CA(VS SRM915A);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HERCYNITE(MOL%);JACOBSITE(MOL%);KALSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MG-CHROMITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;;;
1996;[7817] PASLICK C. R.(1996)  [GeoReM [1229] ];samp. RW93-4;141210;EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT;OLDER EXTRUSIVES;-2;35;-5;37;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;;;;NEOGENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);TITANO-MAGNETITE;;;PRIMARY;;;;;0.21;22.26;;;2.02;0.26;;;;;;;0.62;;;;;24.24;;46.69;0.14;2.77;1.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[7817] PASLICK C. R.(1996)  [GeoReM [1229] ];samp. H93-3;141202;EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / KWARAHA;;-4.2;35.8;-4.2;35.8;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;;;;NEOGENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PYROXENE;;RIM;PRIMARY;;;;;46.56;3.49;;;4.88;0.04;;;;;;;;;;;;4.92;;2.41;24.44;12.87;0.05;;;0.05;;;;;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITA;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;WELL-SORTED, CLAST-SUPPORTED BED OF DARK GRAY, ANGULAR SCORIA LAPILLI;561000;561000;PLEISTOCENE;;;;INCLUSION;;;;;GLASS INCLUSION;;CLINOPYROXENE;FALSE;43.34;0.91;;;16.78;0.01;;;;;;;;;;;;;8.43;;9.22;2.42;0.24;0.47;0.26;;8.19;EMP (EPMA);;;3.35;0.5;;;;;0.34;0.13;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;INCLUSION;;;;;GLASS INCLUSION;;CLINOPYROXENE;FALSE;44.47;0.92;;;17.1;0.02;;;;;;;;;;;;;8.14;;8.91;2.25;0.23;0.52;0.32;;7.6;EMP (EPMA);;;3.39;0.45;;;;;0.31;0.15;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITE;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;TAWNY, ASH-MATRIX-SUPPORTED INDURATED DEPOSIT;561000;561000;PLEISTOCENE;;;;INCLUSION;;;;;GLASS INCLUSION;;CLINOPYROXENE;FALSE;42.69;0.95;;;16.3;0.01;;;;;;;;;;;;;8.37;;9.44;2.21;0.22;0.51;0.23;;9.04;EMP (EPMA);;;3.57;0.43;;;;;0.44;0.13;;0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITA;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;WELL-SORTED, CLAST-SUPPORTED BED OF DARK GRAY, ANGULAR SCORIA LAPILLI;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;PRIMARY;;;;;50.56;0.74;;;3.85;;;;;;;;;;;;;;6.57;;24.36;13.26;0.1;;;;;;;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITA;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;WELL-SORTED, CLAST-SUPPORTED BED OF DARK GRAY, ANGULAR SCORIA LAPILLI;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;PRIMARY;;;;;45.19;1.48;;;7.63;;;;;;;;;;;;;;10.25;;24.14;10.11;0.17;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;PRIMARY;;;;;53.97;0.35;;;1.6;0.14;;;;;;;;;;;;;3.17;;24.46;16.62;0.05;;;;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;PRIMARY;;;;;47.78;1.25;;;6.16;;;;;;;;;;;;;;8.24;;23.61;11.96;0.1;;;;;;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITE;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;TAWNY, ASH-MATRIX-SUPPORTED INDURATED DEPOSIT;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;CORE;PRIMARY;;;;;48.61;0.99;;;4.99;;;;;;;;;;;;;;8.29;;23.76;12.66;0.21;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITE;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;TAWNY, ASH-MATRIX-SUPPORTED INDURATED DEPOSIT;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;RIM;PRIMARY;;;;;45.69;1.39;;;7.33;;;;;;;;;;;;;;9.33;;23.81;11.08;0.15;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITA;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;WELL-SORTED, CLAST-SUPPORTED BED OF DARK GRAY, ANGULAR SCORIA LAPILLI;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);LEUCITE;;;PRIMARY;;;;;54.87;;;;22.98;;;;;;;;;;;;;;0.33;;;;;0.21;;;20.7;EMP (EPMA);;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);LEUCITE;;;PRIMARY;;;;;55.23;0.02;;;22.82;;;;;;;;;;;;;;0.31;;;;;0.06;;;20.85;EMP (EPMA);;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);TITANO-MAGNETITE;;;PRIMARY;;;;;0.32;10.36;;;1.08;;;;;;;;;;;;;;79.83;;;0.88;2.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITA;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;WELL-SORTED, CLAST-SUPPORTED BED OF DARK GRAY, ANGULAR SCORIA LAPILLI;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);APATITE;;;PRIMARY;;;;;1.71;;;;;;;;;;;;;;;;;;0.31;;53.97;0.09;;0.1;1;;;;;;0.07;38.67;;;;;2.43;0.06;;1.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);APATITE;;;PRIMARY;;;;;1.41;;;;;0.01;;;;;;;;;;;;;0.18;;54.13;0.09;0.02;;0.89;;0.02;EMP (EPMA);;;0.06;39.22;;;;;2.38;0.07;;1.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITA;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;WELL-SORTED, CLAST-SUPPORTED BED OF DARK GRAY, ANGULAR SCORIA LAPILLI;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PHLOGOPITE;;;PRIMARY;;;;;36.2;2.99;;;15.47;;;;;;;;;;;;;;10.46;;;18.74;0.11;1.65;;;9.44;EMP (EPMA);;;0.21;;;;;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;[7962] PALLADINO D. M. (2001);samp. UNITB;;APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / TRIGORIA-TOR DE CENCI TUFF;;41.85;12.47;41.85;12.47;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;ASH LAYER;561000;561000;PLEISTOCENE;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PHLOGOPITE;;;PRIMARY;;;;;36.44;2.77;;;15.82;0.01;;;;;;;;;;;;;10.25;;;18.81;0.13;1.62;;;9.28;EMP (EPMA);;;0.21;;;;;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8167] MERTES H. (1985);samp. ME9;150005;EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL / STEFFELNER KOPF;;50.2;6.7;50.2;6.7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;LEUCITITE/NEPHELINITE;;;QUATERNARY;;;;WHOLE ROCK;;;;;;;;;41.7;2.94;;;11.6;;;;;;;;;;;;;5.25;;5.62;14.3;10.1;0.19;;;;3.69;XRF;;;2.5;0.54;0.54;;;0.06;;0.05;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;302;XRF;;;;59;XRF;;;143;XRF;;;119;78;XRF;;;;;;;;;118;XRF;;;846;XRF;;;24;XRF;;;243;XRF;;;78;XRF;;;;;;;;;;1333;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8167] MERTES H. (1985);samp. ME31;150006;EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL;STEINRAUSCH;50.07;6.23;50.07;6.23;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;LEUCITITE/NEPHELINITE;;;QUATERNARY;;;;WHOLE ROCK;;;;;;;;;41.7;2.74;;;12.1;;;;;;;;;;;;;7.31;;3.7;14.8;9.14;0.19;;;;3.25;XRF;;;2.85;0.76;0.53;;;0.06;;0.01;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;260;XRF;;;;50;XRF;;;121;XRF;;;113;81;XRF;;;;;;;;;100;XRF;;;992;XRF;;;26;XRF;;;250;XRF;;;95;XRF;;;;;;;;;;1275;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8167] MERTES H. (1985);samp. ME50;150007;EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL;GIESENHELD;50.2;6.7;50.7;7;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;LEUCITITE/NEPHELINITE;;;QUATERNARY;;;;WHOLE ROCK;;;;;;;;;41.6;3.04;;;11.8;;;;;;;;;;;;;4.92;;6.29;14.2;10.2;0.19;;;;3.28;XRF;;;2.88;0.67;0.37;;;0.06;;0.01;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;XRF;;;;44;XRF;;;134;XRF;;;134;78;XRF;;;;;;;;;99;XRF;;;856;XRF;;;24;XRF;;;257;XRF;;;77;XRF;;;;;;;;;;1128;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8167] MERTES H. (1985);samp. ME4-1;150010;EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL;SCHARTEBERG, 600 M SE KIRCHWEILER;50.22;6.75;50.22;6.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;OLIVINE-FREE;;;QUATERNARY;;;;WHOLE ROCK;;;;;;;;;41;2.73;;;13.2;;;;;;;;;;;;;5.83;;4.69;14.4;8.4;0.21;;;;3.43;XRF;;;4.05;0.78;0.43;;;0.05;;0.04;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;192;XRF;;;;35;XRF;;;103;XRF;;;108;88;XRF;;;;;;;;;88;XRF;;;1286;XRF;;;32;XRF;;;281;XRF;;;118;XRF;;;;;;;;;;1166;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;[8167] MERTES H. (1985);samp. ME4-2;150013;EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL;SCHARTEBERG, SMALL QUARRY;50.22;6.75;50.22;6.75;;;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;SODALITE-BEARING, OLIVINE-FREE;;;QUATERNARY;;;;WHOLE ROCK;;;;;;;;;40.2;2.81;;;12.8;;;;;;;;;;;;;5.92;;4.89;14.8;8.92;0.2;;;;3.19;XRF;;;3.9;0.82;0.27;;;0.04;;0.15;;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;192;XRF;;;;39;XRF;;;109;XRF;;;122;83;XRF;;;;;;;;;75;XRF;;;1118;XRF;;;26;XRF;;;277;XRF;;;107;XRF;;;;;;;;;;1092;XRF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
