Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;TYPE OF MATERIAL;MINERAL / COMPONENT;CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);GD2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);PR2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);NA(WT%);P(WT%);LI(PPM);BE(PPM);B(PPM);F(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);K(PPM);SC(PPM);TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM);ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM): altern. values or methods;;;;ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);W(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB(PPB);BI(PPM);PO210_ACT(DPM/G);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;RB87_SR86;PB206_PB204;PB207_PB204;PB207_PB206;PB208_PB204;PB208_PB206;HF176_HF177;LU176_HF177;AR38_AR36;AR40_AR36;PO210_RA226_ACT_INI;TH230_TH232_ACT;TH230_U238_ACT;U238_TH232_ACT;D11B(VS NBS951);D18O(VS VSMOW);D34S(VS CDT);D44_40CA(VS SRM915A);D44_42CA(VS SRM915A);CHROMITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HERCYNITE(MOL%);JACOBSITE(MOL%);KALSILITE(MOL%);(AL)KALIFELDSPAR(MOL%);LARNITE(MOL%);MG-CHROMITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-37;132477;CANARY ISLANDS / GRAN CANARIA / POST-ROQUE NUBLO FORMATION / SHIELD STAGE;PIQUILLO RAVINE, 50 M E OF LOCAL ROAD CI-13-8;28.0409;-15.5036;28.0409;-15.5036;455;455;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.018;;;;;;;;;;;;3.395E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.92;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-37;132477;CANARY ISLANDS / GRAN CANARIA / POST-ROQUE NUBLO FORMATION / SHIELD STAGE;PIQUILLO RAVINE, 50 M E OF LOCAL ROAD CI-13-8;28.0409;-15.5036;28.0409;-15.5036;455;455;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.329E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.88;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCRN-4;132478;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;LAVA ON TOP OF HOYA DEL GAMONAL SEQUENCE, 300 M W OF CRUZ DEL SAUCILLO DOME;27.9716;-15.5547;27.9716;-15.5547;1730;1730;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC;LAVA;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.94;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCRN-4;132478;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;LAVA ON TOP OF HOYA DEL GAMONAL SEQUENCE, 300 M W OF CRUZ DEL SAUCILLO DOME;27.9716;-15.5547;27.9716;-15.5547;1730;1730;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC;LAVA;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.364;;;;;;;;;;;;4.45E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.88;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCRN-4;132478;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;LAVA ON TOP OF HOYA DEL GAMONAL SEQUENCE, 300 M W OF CRUZ DEL SAUCILLO DOME;27.9716;-15.5547;27.9716;-15.5547;1730;1730;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC;LAVA;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.71E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.99;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-30;132480;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;NEAR THE END OF FOOTPATH TO EL ESPIGON;27.9701;-15.5172;27.9701;-15.5172;1290;1290;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC, MICROCRYSTALLINE;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.97;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-30;132480;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;NEAR THE END OF FOOTPATH TO EL ESPIGON;27.9701;-15.5172;27.9701;-15.5172;1290;1290;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC, MICROCRYSTALLINE;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.663;;;;;;;;;;;;2.262E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.97;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-30;132480;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;NEAR THE END OF FOOTPATH TO EL ESPIGON;27.9701;-15.5172;27.9701;-15.5172;1290;1290;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC, MICROCRYSTALLINE;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.28E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.98;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-A8;132484;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;LOCAL ROAD FROM INGENIO TO GUAYADEQUE VALLEY. FIRST LAVA BELOW RED SOIL.;27.9189;-15.4553;27.9189;-15.4553;385;385;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC, VESICULAR, AMYGDALOIDAL, MICROCRYSTALLINE;LAVA;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;K-AR;;;;;
2004;[6975] GUILLOU H. (2004);samp. GCR-A8;132484;CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / POST-ROQUE NUBLO FORMATION;LOCAL ROAD FROM INGENIO TO GUAYADEQUE VALLEY. FIRST LAVA BELOW RED SOIL.;27.9189;-15.4553;27.9189;-15.4553;385;385;OUTCROP;SUBAERIAL;VOLCANIC ROCK;FOIDITE;INEQUIGRANULAR, PORPHYRITIC, VESICULAR, AMYGDALOIDAL, MICROCRYSTALLINE;LAVA;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.482;;;;;;;;;;;;1.943E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.32;K-AR;;;;;
