Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,SPOT (INCLUSION),MINERAL (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),LA2O3(WT%),CE2O3(WT%),ND2O3(WT%),SM2O3(WT%),Y2O3(WT%),V2O3(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),CUO(WT%),K2O(WT%),NA2O(WT%): altern. values or methods,,,,P2O5(WT%),H2O(WT%): altern. values or methods,,,,H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),SI(WT%),AL(WT%),TI(WT%),FE(WT%),MN(WT%),CA(WT%),Y(WT%),LA(WT%),CE(WT%),K(WT%): altern. values or methods,,,,NA(WT%),HE4(CCMSTP/G),LI(PPM): altern. values or methods,,,,BE(PPM),B(PPM),F(PPM),MG(PPM),AL(PPM),SI(PPM),S(PPM),CL(PPM),AR40(CCMSTP/G),AR40(MOL/G),CA(PPM),SC(PPM),TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,MN(PPM),FE(PPM),CO(PPM),NI(PPM): altern. values or methods,,,,CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),RB(PPM): altern. values or methods,,,,SR(PPM): altern. values or methods,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM),MO(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM): altern. values or methods,,,,I(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),HG(PPM),TL(PPM),PB(PPM): altern. values or methods,,,,BI(PPM),TH(PPM): altern. values or methods,,,,U(PPM): altern. values or methods,,,,ND143_ND144,SM147_ND144,SR87_SR86,SR87_SR86_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,TH232_PB204,U235_PB204,U238_PB204,D11B(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D33S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,D34S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,ALBITE(MOL%),ACMITE(MOL%),AEGIRINE(MOL%),ANORTHITE(MOL%),CELSIAN(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),GEIKIELITE(MOL%),HEMATITE(MOL%),ILMENITE(MOL%),LAIHUNITE(MOL%),LARNITE(MOL%),MAGNESIOFERRITE(MOL%),MAGNETITE(MOL%),ORTHOCLASE(MOL%),PYROPHANITE(MOL%),TEPHROITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA),AGE_PB206_U238(MA)
2012, [15949] NEAVE D. A. (2012),samp. 09PNL026,,SICILY CHANNEL RIFT / PANTELLERIA,GELFISER,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),GLASS,,GROUNDMASS,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,,,,,,,,,242.08,30484.52,,,,,,2334.05,1.76,2099.01,0,ICPMS_LA,,,,,,,,52416.8,,0.06,ICPMS_LA,,,1.45,,,,,197.95,ICPMS_LA,,,4.85,ICPMS_LA,,,159.1,ICPMS_LA,,,1901.48,ICPMS_LA,,,456.4,,,,,,,,,,,,50.13,ICPMS_LA,,,210.12,ICPMS_LA,,,422.79,ICPMS_LA,,,48.17,165.13,ICPMS_LA,,,31.52,ICPMS_LA,,,4.1,27.57,4.63,28.87,5.99,16.04,2.48,15.49,2.23,41.47,25.11,,,,16.38,ICPMS_LA,,,,,,,,12.14,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL026,,SICILY CHANNEL RIFT / PANTELLERIA,GELFISER,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),GLASS,,GROUNDMASS,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,,,,,,,,,254.6,31847.54,,,,,,2601.26,2.36,2102.18,0.119,ICPMS_LA,,,,,,,,53810.29,,0.094,ICPMS_LA,,,0.53,,,,,204.84,ICPMS_LA,,,4.58,ICPMS_LA,,,166.75,ICPMS_LA,,,2004.16,ICPMS_LA,,,479.09,,,,,,,,,,,,52.98,ICPMS_LA,,,223.65,ICPMS_LA,,,445.54,ICPMS_LA,,,50.4,173.88,ICPMS_LA,,,33,ICPMS_LA,,,4.16,29.37,4.86,31.2,6.47,17.61,2.6,16.54,2.42,44.41,27.03,,,,17.21,ICPMS_LA,,,,,,,,13.03,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL026,,SICILY CHANNEL RIFT / PANTELLERIA,GELFISER,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7140.26,56068.25,670159.56,,,,,17.44,69.03,4334.78,4.98,ICPMS_LA,,,,,,,,255306.17,,0,ICPMS_LA,,,3.55,,,,,290.29,ICPMS_LA,,,17.86,ICPMS_LA,,,398.96,ICPMS_LA,,,4386.03,ICPMS_LA,,,673.09,,,,,,,,,,,,69.62,ICPMS_LA,,,491.53,ICPMS_LA,,,1044.46,ICPMS_LA,,,144.99,557.13,ICPMS_LA,,,109.68,ICPMS_LA,,,12.73,89.8,13.81,82.97,16.63,46.42,7.27,57.84,10.11,102.15,39.81,,,,23.73,ICPMS_LA,,,,,,,,17.92,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL026,,SICILY CHANNEL RIFT / PANTELLERIA,GELFISER,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6886.2,3486.66,260595.91,,,,,17.44,38.3,3103.77,1.98,ICPMS_LA,,,,,,,,204832.86,,0.58,ICPMS_LA,,,0.21,,,,,13.67,ICPMS_LA,,,7.74,ICPMS_LA,,,164.28,ICPMS_LA,,,949.84,ICPMS_LA,,,32.62,,,,,,,,,,,,3.34,ICPMS_LA,,,156.58,ICPMS_LA,,,448.84,ICPMS_LA,,,72.71,310.54,ICPMS_LA,,,64.91,ICPMS_LA,,,8.14,48.73,7.43,39.89,7.46,19.69,3.47,28.79,6.17,28.05,1.82,,,,1.79,ICPMS_LA,,,,,,,,0.854,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL026,,SICILY CHANNEL RIFT / PANTELLERIA,GELFISER,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),CLINOPYROXENE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896.18,939.41,224651.42,,,,,17.44,54.18,1954.97,3.31,ICPMS_LA,,,,,,,,195242.39,,0.56,ICPMS_LA,,,1.6,,,,,1.02,ICPMS_LA,,,9.36,ICPMS_LA,,,137.88,ICPMS_LA,,,866.21,ICPMS_LA,,,4.45,,,,,,,,,,,,0.96,ICPMS_LA,,,131.07,ICPMS_LA,,,385.33,ICPMS_LA,,,63.09,277.42,ICPMS_LA,,,57.6,ICPMS_LA,,,7.03,42.77,6.44,34.83,6.49,17.05,3.18,27.87,5.94,25.87,0.239,,,,0.52,ICPMS_LA,,,,,,,,0.158,ICPMS_LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,SIMS,,,,,0.0059,,,,,,,,,,,,,,,,,,,,,,,,60,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,63,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,59,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,60,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,63,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,69,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,SIMS,,,,,0.0245,,,,,,,,,,,,,,,,,,,,,,,,73,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,SIMS,,,,,0.0065,,,,,,,,,,,,,,,,,,,,,,,,66,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,33,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88,SIMS,,,,,0.0021,,,,,,,,,,,,,,,,,,,,,,,,28,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,SIMS,,,,,0.0056,,,,,,,,,,,,,,,,,,,,,,,,70,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,72,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,SIMS,,,,,0.0026,,,,,,,,,,,,,,,,,,,,,,,,43,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,78,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),GLASS,,GROUNDMASS,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,59,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL007,,SICILY CHANNEL RIFT / PANTELLERIA,MONTE GIBILE,36.8,12,36.8,12,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,50,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL032,,SICILY CHANNEL RIFT / PANTELLERIA,CUDDIA MUEGGEN,36.7856,12.0236,36.7856,12.0236,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,SIMS,,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,71,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, [15949] NEAVE D. A. (2012),samp. 09PNL032,,SICILY CHANNEL RIFT / PANTELLERIA,CUDDIA MUEGGEN,36.7856,12.0236,36.7856,12.0236,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,PANTELLERITIC RHYOLITE,,GLASSY LAVA; ORIGINALLY REPORTED AS PANTELLERITE,0,45000,QUATERNARY,,,,INCLUSION,,,,,,GLASS INCLUSION,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,SIMS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,60,SIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
