Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);INCLUSION SIZE;SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);NIO(WT%);K2O(WT%);NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);SO3(WT%);S(WT%);LOI(WT%);MN(WT%);K(WT%);NI(WT%);HE3(CCMSTP/G);HE4(CCMSTP/G);LI(PPM);BE(PPM);B(PPM);NE20(CCMSTP/G);NE22(CCMSTP/G);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(AT/G): altern. values or methods;;;;;;AR40(CCMSTP/G);AR40(PPB);SC(PPM): altern. values or methods;;;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;;;NI(PPM): altern. values or methods;;;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);KR84(CCMSTP/G);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);PD(PPB);CD(PPM);IN(PPM);SN(PPM);SB(PPM);XE130(CCMSTP/G);XE132(CCMSTP/G);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM);SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB);RE(PPT);OS(PPB);IR(PPB);PT(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;BI(PPM);RA226(PPT);RA226_ACT(DPM/G);TH(PPM): altern. values or methods;;;;U(PPM): altern. values or methods;;;;ND143_ND144;SR87_SR86;PB206_PB204;PB207_PB204;PB208_PB204;OS187_OS188;HE3_HE4;HE3_HE4(R/R(A));HE4_HE3;AR38_AR36;AR40_AR36;NE20_NE22;NE21_NE22;PB210_RA226;RA226_TH230;RA228_TH232;TH230_TH232_ACT;TH230_U238_ACT;U238_TH232_ACT;D18O(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA);
1994;[169] SOBOLEV A. V. (1994);samp. OPF;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;;-21.24;55.73;-21.24;55.73;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;45.86;1.58;7.98;0.14;;;;12.04;;6.46;22.44;0.19;;0.52;1.45;XRF;;;0.19;;;;;;;;;0.68;;;;;;;;;;;;;;;;;;;;;;21;INAA;;;;;;;;;;;;;;;202;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;12.3;INAA;;;;;;;;;;;101;INAA;;;;;;;;;;;;;;;;0.16;94.8;INAA;;;12.1;INAA;11.99;INAA;22;INAA;22.9;INAA;;;3.7;INAA;3.5;INAA;1.24;INAA;1.37;INAA;;0.72;INAA;0.52;INAA;4.2;;;;2.2;INAA;1.44;INAA;0.38;2.5;INAA;2.83;INAA;;;;;;;;;;;;;;;;1.6;INAA;;;0.38;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964;[211] MACDONALD G. A. (1964);samp. C-84;3526;HAWAIIAN ISLANDS / KAUAI / KAUAI / SHIELD STAGE / WAIMEA CANYON SERIES-OLOKELE FORMATION;KOAIE STREAM;22;-159.5;22;-159.5;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;44.96;1.51;9.22;;;;3;;9.17;6.38;21.76;0.18;;0.07;0.98;NOT;;;0.18;;1.64;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964;[211] MACDONALD G. A. (1964);samp. C-123;1302;HAWAIIAN ISLANDS / MAUI / HALEAKALA / SHIELD STAGE / HONOMANU SERIES;HONOMANU GULCH;20.72;-156.17;20.72;-156.17;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;MASSIVE;PAHOEHOE;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;44.63;1.83;12.66;;;;2.75;;9.77;7.84;17.01;0.17;;0.2;1.73;NOT;;;0.21;;0.73;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972;[294] KEIL K. (1972);samp. C-123;1302;HAWAIIAN ISLANDS / MAUI / HALEAKALA / SHIELD STAGE / HONOMANU SERIES;HONOMANU GULCH;20.72;-156.17;20.72;-156.17;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);PLAGIOCLASE;;GROUNDMASS;;;PRIMARY;;;;;;;;52.7;;29.5;;;;;1;;12.9;;;;0.19;3.8;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.4;64.5;;;;;1.1;;;;;;;;;
1993;[319] SARDA P. (1993);samp. RE90-06;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;SURFACE, 50 CM FROM DRILL CORE RE90-18, PLAINE DES REMPARTS;-21.22;55.65;-21.22;55.65;2330;2330;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;A;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.58E-12;;;;;;5.09E-12;;;1.221E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10710;;309;9.44;0.0966;;;;;;;;;;;;;;;;;;;;;;;
1993;[319] SARDA P. (1993);samp. RE90-06;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;SURFACE, 50 CM FROM DRILL CORE RE90-18, PLAINE DES REMPARTS;-21.22;55.65;-21.22;55.65;2330;2330;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;B;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.69E-12;;;;;;4.4E-12;;;3.71E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.786E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.81E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12970;;329;9.41;0.1165;;;;;;;;;;;;;;;;;;;;;;;
1993;[319] SARDA P. (1993);samp. RE90-18-1-6;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;PLAINE DES REMPARTS, DRILL CORE RE90-18;-21.22;55.65;-21.22;55.65;2330;2330;DRILL HOLE ;0.06;0.06;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.48E-12;;;4.924E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.44E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.08E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;481;9.17;0.1075;;;;;;;;;;;;;;;;;;;;;;;
1993;[319] SARDA P. (1993);samp. RE90-18-7-12.5;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;PLAINE DES REMPARTS, DRILL CORE RE90-18;-21.22;55.65;-21.22;55.65;2330;2330;DRILL HOLE ;0.125;0.125;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.581E-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.788E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.085E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;331;9.26;0.0892;;;;;;;;;;;;;;;;;;;;;;;
1993;[319] SARDA P. (1993);samp. RE90-18-17-22;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;PLAINE DES REMPARTS, DRILL CORE RE90-18;-21.22;55.65;-21.22;55.65;2330;2330;DRILL HOLE ;0.22;0.22;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.49E-12;;;;;;;;;5.773E-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.3183E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9002;;297;9.61;0.0777;;;;;;;;;;;;;;;;;;;;;;;
1993;[319] SARDA P. (1993);samp. RE90-18-35-40;;MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE / OCEANITE SERIES;PLAINE DES REMPARTS, DRILL CORE RE90-18;-21.22;55.65;-21.22;55.65;2330;2330;DRILL HOLE ;0.4;0.4;SUBAERIAL;VOLCANIC ROCK;OCEANITE;;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);OLIVINE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.032E-11;;;6.95E-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.193E-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.73E-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;760;10.48;0.0495;;;;;;;;;;;;;;;;;;;;;;;
