Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);GRAIN SIZE;PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);AL2O3(WT%);CR2O3(WT%);V2O3(WT%);V2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);COO(WT%);K2O(WT%);;;;NA2O(WT%);;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);F(WT%);CL(WT%);CL2(WT%);SO3(WT%);S(WT%);LOI(WT%);O(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%): altern. values or methods;;;;NA(WT%);CR(WT%);NI(WT%);HE(CCMSTP/G);HE3(CCMSTP/G);HE4(CCMSTP/G): altern. values or methods;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);NE22(CCMSTP/G);P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);AR40(CCMSTP/G);AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);FE(PPM);CO(PPM): altern. values or methods;;;;;;NI(PPM): altern. values or methods;;;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);KR84(CCMSTP/G);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);IN(PPM);SN(PPM);SB(PPM);XE132(CCMSTP/G);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM): altern. values or methods;;;;ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM): altern. values or methods;;;;LU(PPM);HF(PPM): altern. values or methods;;;;TA(PPM);W(PPM);RE(PPB): altern. values or methods;;;;RE(PPT);OS(PPB): altern. values or methods;;;;OS(PPT);IR(PPB);PT(PPB);AU(PPB);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB210_ACT(DPM/G);TH(PPM): altern. values or methods;;;;TH(PPB);U(PPM): altern. values or methods;;;;U(PPB);CO2(PPM);H2O(PPM);ND143_ND144;ND148_ND144;SM147_ND144;SR87_SR86;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB207;PB206_PB208;PB207_PB204: altern. values or methods;;;;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB206;OS187_OS186;OS187_OS188: altern. values or methods;;;;RE187_OS188: altern. values or methods;;;;HF176_HF177;HE3_HE4;HE3_HE4(R/R(A)): altern. values or methods;;;;HE4_HE3: altern. values or methods;;;;;;HE4_HE3(R/R(A)): altern. values or methods;;;;AR38_AR36;AR40_AR36;NE20_NE22;NE21_NE22;XE129_XE132;PB206_U238;PB207_U235;PB210_U238;TH232_U238;U238_PB204;D13C(VS SMOW);D17O(VS VSMOW);D18O(PER MIL);D18O(VS PDB);D18O(VS SMOW);D18O(VS VSMOW);D34S(VS CDT);D44_40CA(VS SRM915A);D56FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);LARNITE(MOL%);ORTHOCLASE(MOL%);PSEUDOBROOKITE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA);AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2004;[7554] HODYCH J. P. (2004);samp. SC-1;;APPALACHIANS / NORTHERN APPALACHIANS / HUMBER ZONE / SKINNER COVE FORMATION;;46.9;-55.4;46.9;-55.4;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;FLOW;550000000;550000000;PROTEROZOIC;NEO;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);ZIRCON;3-1B;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;ICPMS_LAM;;;;;;;;;;;;;;;;;;;;;0.0586;;;;;0.1547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.093;0.78;;0.4997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;551;586;573;
1994;[7654] HARANGI S. (1994);samp. MS1;;CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / MECSEK MOUNTAINS;SINGODOR VALLEY;46.21;18.32;46.21;18.32;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;CRETACEOUS;LOWER;;;;WHOLE ROCK;;;;;;;;;;;;;;44.39;3.39;13.29;;;;;1.36;;10.61;9.78;11.11;0.17;;;;;;1.08;XRF;;;2.82;AAS;;;0.6;;;;;;;;;;1.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.2;INAA;;;;;;321;XRF;;;528;XRF;;;;;57;INAA;;;;;231;XRF;;;;;;;;;120;INAA;;;;;;;;;;12;XRF;;;634;XRF;;;18;XRF;;;221;XRF;;;39;XRF;;;;;;;;;;;;339;XRF;;;32;INAA;;;65;INAA;;;;;;;50;INAA;;;7.89;INAA;;;2.69;INAA;;;;1.22;INAA;;;;;;;1.49;INAA;;;0.21;6.1;INAA;;;2.17;;;;;;;;;;;;;;;;;;;;;;2.7;INAA;;;;0.9;INAA;;;;;;0.51286;;;0.70313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;[7654] HARANGI S. (1994);samp. 92/14;;CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / MECSEK MOUNTAINS;HODACS;46.24;18.33;46.24;18.33;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;CRETACEOUS;LOWER;;;;WHOLE ROCK;;;;;;;;;;;;;;43.01;4.55;12.7;;;;;4.79;;8.93;11.71;8.78;0.18;;;;;;0.53;XRF;;;2.39;AAS;;;0.54;;;;;;;;;;1.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.6;INAA;;;;;;422;XRF;;;273;XRF;;;;;54;INAA;;;;;120;XRF;;;;;;;;;137;INAA;;;;;;;;;;7;XRF;;;942;XRF;;;22;XRF;;;256;XRF;;;49;XRF;;;;;;;;;;;;426;XRF;;;39;INAA;;;74;INAA;;;;;;;46;INAA;;;9.03;INAA;;;3.15;INAA;;;;1.13;INAA;;;;;;;1.84;INAA;;;0.24;6.9;INAA;;;3.05;;;;;;;;;;;;;;;;;;;;;;3.7;INAA;;;;1.2;INAA;;;;;;0.51286;;;0.70306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G10;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;49;1.15;12.1;0.08;;;;;11.5;;11.7;10.46;0.19;;;0.03;;;0.14;XRF;;;3.35;XRF;;;0.25;;;;;;;;;;1.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;ICPMS;;;;;;341;ICPMS;;;519;ICPMS;;;;;60.5;ICPMS;;;;;220;ICPMS;;;;;91;ICPMS;;;95;ICPMS;;;;;;;;;;0.81;ICPMS;;;152;ICPMS;;;17.4;ICPMS;;;58;ICPMS;;;7.57;ICPMS;;;;;;;;;;;;49.6;ICPMS;;;3.5;ICPMS;;;8.5;ICPMS;;;1.37;ICPMS;;;7.04;ICPMS;;;2.3;ICPMS;;;0.83;ICPMS;;;2.78;0.49;ICPMS;;;3.1;0.63;1.61;;1.52;ICPMS;;;0.22;1.55;ICPMS;;;0.34;;;;;;;;;;;;;;;;;0.91;ICPMS;;;;0.25;ICPMS;;;;0.08;ICPMS;;;;;;0.512999;;0.197957;0.703327;0.01539;19.71;MC_ICPMS;;;;;15.61;MC_ICPMS;;;;39.19;MC_ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G11;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;48.4;1.11;11.7;0.11;;;;;10.6;;15.44;9.93;0.18;;;0.02;;;0.1;XRF;;;2.21;XRF;;;0.17;;;;;;;;;;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;ICPMS;;;;;;353;ICPMS;;;668;ICPMS;;;;;54;ICPMS;;;;;167;ICPMS;;;;;217;ICPMS;;;83;ICPMS;;;;;;;;;;0.54;ICPMS;;;267;ICPMS;;;17;ICPMS;;;54.2;ICPMS;;;6.45;ICPMS;;;;;;;;;;;;44.8;ICPMS;;;3.57;ICPMS;;;8.17;ICPMS;;;1.37;ICPMS;;;7.13;ICPMS;;;2.31;ICPMS;;;0.86;ICPMS;;;2.81;0.5;ICPMS;;;3.11;0.63;1.57;;1.47;ICPMS;;;0.22;1.51;ICPMS;;;0.3;;;;;;;;;;;;;;;;;1.51;ICPMS;;;;0.23;ICPMS;;;;0.07;ICPMS;;;;;;0.513009;;0.195408;0.703487;0.00581;19.67;MC_ICPMS;;;;;15.61;MC_ICPMS;;;;39.19;MC_ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G12;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;43.4;1.38;14.6;0.05;;;;;12.7;;18.02;8.47;0.2;;;0.02;;;0.1;XRF;;;0.81;XRF;;;0.21;;;;;;;;;;2.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;ICPMS;;;;;;317;ICPMS;;;321;ICPMS;;;;;57.3;ICPMS;;;;;172;ICPMS;;;;;111;ICPMS;;;83;ICPMS;;;;;;;;;;0.68;ICPMS;;;757;ICPMS;;;20.6;ICPMS;;;72;ICPMS;;;9.44;ICPMS;;;;;;;;;;;;16.43;ICPMS;;;4.8;ICPMS;;;11.11;ICPMS;;;1.81;ICPMS;;;9.2;ICPMS;;;2.89;ICPMS;;;1.05;ICPMS;;;3.34;0.59;ICPMS;;;3.72;0.75;1.93;;1.79;ICPMS;;;0.26;1.95;ICPMS;;;0.4;;;;;;;;;;;;;;;;;3.23;ICPMS;;;;0.34;ICPMS;;;;0.12;ICPMS;;;;;;0.512994;;0.190161;0.703352;0.0026;19.65;MC_ICPMS;;;;;15.6;MC_ICPMS;;;;39.17;MC_ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 97G4;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;47.6;1.28;12.2;0.16;;;;;12.6;;11.26;12.11;0.2;;;0.06;;;0.76;XRF;;;1.67;XRF;;;0.1;;;;;;;;;;2.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;ICPMS;;;;;;355;ICPMS;;;989;ICPMS;;;;;73.9;ICPMS;;;;;388;ICPMS;;;;;26;ICPMS;;;104;ICPMS;;;;;;;;;;11.82;ICPMS;;;85.5;ICPMS;;;19.4;ICPMS;;;51;ICPMS;;;3.22;ICPMS;;;;;;;;;;;;133;ICPMS;;;3.87;ICPMS;;;10.45;ICPMS;;;1.62;ICPMS;;;7.69;ICPMS;;;2.24;ICPMS;;;0.85;ICPMS;;;2.82;0.5;ICPMS;;;3.19;0.66;1.79;;1.46;ICPMS;;;0.2;1.48;ICPMS;;;0.18;;;;;;;;;;;;;;;;;0.44;ICPMS;;;;0.22;ICPMS;;;;0.08;ICPMS;;;;;;0.513046;;0.176118;0.703568;0.39982;18.81;MC_ICPMS;;;;;15.52;MC_ICPMS;;;;38.46;MC_ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G4;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;48;1.28;11.2;0.12;;;;;12.6;;11.49;12.99;0.19;;;0.06;;;0.57;XRF;;;1.42;XRF;;;0.11;;;;;;;;;;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;ICPMS;;;;;;318;ICPMS;;;742;ICPMS;;;;;72;ICPMS;;;;;400;ICPMS;;;;;18;ICPMS;;;94;ICPMS;;;;;;;;;;7.71;ICPMS;;;61.8;ICPMS;;;17;ICPMS;;;69;ICPMS;;;4.48;ICPMS;;;;;;;;;;;;116;ICPMS;;;3.69;ICPMS;;;10.02;ICPMS;;;1.64;ICPMS;;;8.54;ICPMS;;;2.68;ICPMS;;;0.96;ICPMS;;;3.16;0.52;ICPMS;;;3.22;0.63;1.55;;1.36;ICPMS;;;0.2;1.78;ICPMS;;;0.21;;;;;;;;;;;;;;;;;0.27;ICPMS;;;;0.25;ICPMS;;;;0.08;ICPMS;;;;;;0.513043;;0.189691;0.703476;0.3608;18.58;MC_ICPMS;;;;;15.53;MC_ICPMS;;;;38.39;MC_ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G9;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;;46.6;0.98;8.89;0.23;;;;;12.5;;12.51;17.44;0.2;;;0.09;;;0.03;XRF;;;0.42;XRF;;;0.08;;;;;;;;;;3.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;ICPMS;;;;;;290;ICPMS;;;1282;ICPMS;;;;;75.1;ICPMS;;;;;588;ICPMS;;;;;13;ICPMS;;;81;ICPMS;;;;;;;;;;0.51;ICPMS;;;14.6;ICPMS;;;8.25;ICPMS;;;27.1;ICPMS;;;3.25;ICPMS;;;;;;;;;;;;6.62;ICPMS;;;2.43;ICPMS;;;7.01;ICPMS;;;1.16;ICPMS;;;6.11;ICPMS;;;2.02;ICPMS;;;0.77;ICPMS;;;2.54;0.45;ICPMS;;;2.71;0.54;1.43;;1.25;ICPMS;;;0.18;0.76;ICPMS;;;0.27;;;;;;;;;;;;;;;;;0.27;ICPMS;;;;0.21;ICPMS;;;;0.05;ICPMS;;;;;;0.51303;;0.199561;0.703261;0.10152;19.59;MC_ICPMS;;;;;15.59;MC_ICPMS;;;;39.12;MC_ICPMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 97G4;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.11;ICPMS;;;;;;;;;;;;;;;18.94;ICPMS;;;;;;;;;;3.12;ICPMS;;;13.58;ICPMS;;;7.77;ICPMS;;;9.55;ICPMS;;;0.07;ICPMS;;;;;;;;;;;;18.85;ICPMS;;;0.24;ICPMS;;;0.91;ICPMS;;;0.22;ICPMS;;;1.7;ICPMS;;;0.81;ICPMS;;;0.33;ICPMS;;;1.22;0.2;ICPMS;;;1.46;0.28;0.72;2.71;0.6;ICPMS;;;0.08;0.44;ICPMS;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G4;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;ICPMS;;;24.22;ICPMS;;;;;;;35.55;ICPMS;;;1.09;ICPMS;;;;;;;;;;;;29.86;ICPMS;;;1.12;ICPMS;;;3.53;ICPMS;;;0.66;ICPMS;;;4.15;ICPMS;;;1.62;ICPMS;;;0.65;ICPMS;;;2.31;0.39;ICPMS;;;2.59;0.51;1.32;0.18;1.09;ICPMS;;;0.16;1.35;ICPMS;;;0.07;;;;;;;;;;;;;;;;;;;;;;0.08;ICPMS;;;;0.04;ICPMS;;;;;;0.513052;;0.23602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G4-2;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.513054;;0.23602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G9;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;ICPMS;;;11.78;ICPMS;;;;;;;10.94;ICPMS;;;0.09;ICPMS;;;;;;;;;;;;2.38;ICPMS;;;0.31;ICPMS;;;1.2;ICPMS;;;0.26;ICPMS;;;1.91;ICPMS;;;0.91;ICPMS;;;0.38;ICPMS;;;1.46;0.25;ICPMS;;;1.7;0.32;0.82;0.11;0.63;ICPMS;;;0.1;0.55;ICPMS;;;0.01;;;;;;;;;;;;;;;;;;;;;;0.01;ICPMS;;;;0.01;ICPMS;;;;;;0.513086;;0.288067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G12;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;ICPMS;;;32.45;ICPMS;;;;;;;17.79;ICPMS;;;0.57;ICPMS;;;;;;;;;;;;2.29;ICPMS;;;0.49;ICPMS;;;1.84;ICPMS;;;0.4;ICPMS;;;2.74;ICPMS;;;1.2;ICPMS;;;0.48;ICPMS;;;1.87;0.32;ICPMS;;;2.18;0.42;1.05;0.14;0.83;ICPMS;;;0.13;0.92;ICPMS;;;0.03;;;;;;;;;;;;;;;;;;;;;;0.02;ICPMS;;;;0.02;ICPMS;;;;;;0.513011;;0.264794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;[7683] MAMBERTI M. (2003);samp. 98G12;;CARIBBEAN-COLOMBIAN PLATEAU / COLOMBIA / PALLATANGA UNIT;GUARANDA;-1.5;-79;-1.5;-79;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;ANKARAMITE;;;;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;;PRIMARY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.512991;;0.264793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;[7688] FODOR R. V. (2000);samp. ANKAMARITE;;TRINDADE-VITORIA RISE / COLUMBIA;;-20.7;-31.85;-20.7;-31.85;;;DREDGE;;;SUBAQUATIC;VOLCANIC ROCK;ANKARAMITE;;DREDGE 2;10000000;10000000;MIOCENE;;;;;WHOLE ROCK;;;;;;;;;;;;;;33.82;4.67;11.9;;;;;;;15.7;15.05;15.11;0.45;;;;;;0.4;XRF;;;0.7;XRF;;;1.79;;;;;;;;;;15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265;XRF;;;;;;;;;;;;;;;;;;;;1;XRF;;;985;XRF;;;33;XRF;;;161;XRF;;;57;XRF;;;;;;;;;;;;385;XRF;;;57.2;NAA;;;144.4;NAA;;;;;;;60.2;NAA;;;11.2;NAA;;;3.56;NAA;;;;1.13;NAA;;;;;;;2.05;NAA;;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
