Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION YEAR,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,MINERAL (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),SIO2(WT%),TIO2(WT%),ZRO2(WT%),HFO2(WT%),THO2(WT%),UO2(WT%),AL2O3(WT%),CR2O3(WT%),LA2O3(WT%),CE2O3(WT%),ND2O3(WT%),SM2O3(WT%),GD2O3(WT%),DY2O3(WT%),ER2O3(WT%),YB2O3(WT%),Y2O3(WT%),V2O3(WT%),NB2O5(WT%),TA2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),PBO(WT%),NIO(WT%),ZNO(WT%),RB2O(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),SO2(WT%),SO3(WT%),S(WT%),LOI(WT%),K(WT%): altern. values or methods,,,,LI(PPM): altern. values or methods,,,,BE(PPM),B(PPM),F(PPM): altern. values or methods,,,,MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),AR39(MOL/G),AR40(AT/G): altern. values or methods,,,,AR40(CCMSTP/G),AR40(MOL/G): altern. values or methods,,,,SC(PPM): altern. values or methods,,,,TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,CO(PPM): altern. values or methods,,,,NI(PPM): altern. values or methods,,,,CU(PPM): altern. values or methods,,,,ZN(PPM): altern. values or methods,,,,GA(PPM): altern. values or methods,,,,GE(PPM),AS(PPM),SE(PPM),RB(PPM): altern. values or methods,,,,,,SR(PPM): altern. values or methods,,,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM): altern. values or methods,,,,MO(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),TL(PPM),PB(PPM): altern. values or methods,,,,BI(PPM),TH(PPM): altern. values or methods,,,,U(PPM): altern. values or methods,,,,ND143_ND144,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,RB87_SR86,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB207_PB206,PB208_PB204,PB208_PB204_INI,AR36_AR39,AR37_AR39,AR37_AR40,AR38_AR39,AR40_AR36,AR40_AR39,PB206_U238,PB207_U235,PB208_TH232,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_U238,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH232_ACT,D14C(PER MIL),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D26MG(PER MIL),D33S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,,,D34S(VS VCDT): altern. values or methods,,,,,,,,,,,,,,,,,,,,D56FE(VS IRMM-014),DD(VS SMOW),ALBITE(MOL%),ANORTHITE(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),ILMENITE(MOL%),LARNITE(MOL%),ORTHOCLASE(MOL%),TEPHROITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(A),AGE(KA): altern. values or methods,,,,AGE(MA): altern. values or methods,,,,,,,,AGE_PB207_PB206(MA),AGE_PB207_U235(MA),AGE_PB206_U238(MA),AGE_PB208_TH232(MA)
1987, [8059] MACDONALD R. (1987),samp. KN18,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / OLOLBUTOT COMENDITE,"RLC5 STRATIGRAPHIC UNIT, OLOLBUTOT LATE FLOW",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,OBSIDIAN FLOW; ORIGINALLY REPORTED AS COMENDITE,,15000,HOLOCENE,,,,,WHOLE ROCK,,,,,,,,,,,74.6,0.18,,,,,10.53,,,,,,,,,,,,,,,1.55,,2.05,0.15,0.01,0.06,,,,,,,4.39,5.68,0.01,,0,,,0.64,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,XRF,,,,,,,,,,393,XRF,,,,,,,,,,,239,XRF,,,1571,XRF,,,313,XRF,,,,,,,,,,,1,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 002,141505,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,"PLC1 STRATIGRAPHIC UNIT, N-S STRING OF 7 STEEP-SIDED DOMES AND 3 FLATTER-LYING DOMES, NEAR SOUTH LAKE POLICE STATION, GROUP 1 CENTER",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512521,,,0.705523,,,19.81,,15.816,,,39.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 143B,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),,-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.852,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512519,,,0.705675,,,19.805,,15.809,,,39.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 148A,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),,-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,CRYSTALLINE SAMPLE; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512499,,,0.70607,,,19.823,,15.827,,,39.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 184A,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),,-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,CRYSTALLINE SAMPLE; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.025,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512509,,,0.705495,,,19.801,,15.802,,,39.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 410B,141515,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,"PLC2 STRATIGRAPHIC UNIT, OSERIAN FARM (KIBIKONI FARM)",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512428,,,0.711891,,,19.833,,15.838,,,39.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 583,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),,-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.079,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51244,,,0.710937,,,19.849,,15.857,,,39.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 551,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),,-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.334,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512573,,,0.70691,,,19.782,,15.787,,,39.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 565,141527,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / MIDDLE COMENDITE MEMBER,"PLC2 STRATIGRAPHIC UNIT, GORGE FARM",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.253,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512586,,,0.707733,,,19.808,,15.79,,,39.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 570,141528,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / MIDDLE COMENDITE MEMBER,"PLC2 STRATIGRAPHIC UNIT, GORGE FARM",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.586,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512582,,,0.707584,,,19.795,,15.801,,,39.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 570,141528,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / MIDDLE COMENDITE MEMBER,"PLC2 STRATIGRAPHIC UNIT, GORGE FARM",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 361A,141533,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),"PTP2 STRATIGRAPHIC UNIT, OSERIAN",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,HYDRATED GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.451,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512573,,,0.704136,,,19.852,,15.84,,,39.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 361A,141533,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),"PTP2 STRATIGRAPHIC UNIT, OSERIAN",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,HYDRATED GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 333,141535,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,"PCL2-3 STRATIGRAPHIC UNIT, RARE FLOWS LATE IN PLC2 ACTIVITY, OVERLYING PTP2, KONGONI FARM",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.399,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512534,,,0.706951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 333,141535,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / LOWER COMENDITE MEMBER,"PCL2-3 STRATIGRAPHIC UNIT, RARE FLOWS LATE IN PLC2 ACTIVITY, OVERLYING PTP2, KONGONI FARM",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),(AL)KALIFELDSPAR,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.758,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512533,,,0.706923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 511D,,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA),,-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.594,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512526,,,0.707095,,,19.775,,15.807,,,39.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 515A,141616,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / UPPER COMENDITE MEMBER,"PLC3 STRATIGRAPHIC UNIT, CAPPING FLOWS, S WALL, BROAD ACRES",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.919,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512535,,,0.707175,,,19.762,,15.812,,,39.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 515A,141616,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / UPPER COMENDITE MEMBER,"PLC3 STRATIGRAPHIC UNIT, CAPPING FLOWS, S WALL, BROAD ACRES",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, [8060] DAVIES G. R. (1987),samp. 376,141539,EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / GREATER OLKARIA(NAIVASHA) / OLOLBUTOT COMENDITE,"RLC4 STRATIGRAPHIC UNIT, N ORGARIA",-0.72,36.43,-0.72,36.43,,,OUTCROP,SUBAERIAL,VOLCANIC ROCK,COMENDITIC RHYOLITE,,GLASS; ORIGINALLY REPORTED AS COMENDITE,,,,,,,,VOLCANIC GLASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.029,TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512502,,,0.707337,,,19.777,,15.811,,,39.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
