Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LONGITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MAX.),ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,ROCK NAME,ROCK TEXTURE,SAMPLE COMMENT,AGE (MIN.),AGE (MAX.),GEOLOGICAL AGE,GEOLOGICAL AGE PREFIX,ERUPTION YEAR,ALTERATION,ALTERATION TYPE,TYPE OF MATERIAL,MINERAL / COMPONENT,SPOT (MINERAL),CRYSTAL,RIM / CORE (MINERAL GRAINS),PRIMARY/SECONDARY,INCLUSION TYPE,SPOT (INCLUSION),MINERAL (INCLUSION),RIM / CORE (INCLUSION),HOSTMINERAL (INCLUSION),HEATING,HEATING TEMPERATURE (?C),INCLUSION SIZE,SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),V2O3(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),CUO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),CACO3(WT%),C(WT%),F(WT%),CL(WT%),OH(WT%),SO2(WT%),SO3(WT%),S(WT%): altern. values or methods,,,,LOI(WT%),TI(WT%),FE(WT%),MN(WT%),CA(WT%),K(WT%),NA(WT%),CO(WT%),CU(WT%),NI(WT%),ZN(WT%),HE(MOL/G),HE4(CCMSTP/G),LI(PPM),BE(PPM),B(PPM),F(PPM),NE(MOL/G),P(PPM),S(PPM),CL(PPM),AR(MOL/G),AR40(AT/G),AR40(CCMSTP/G),AR40(MOL/G),AR40(PPB),K(PPM),SC(PPM): altern. values or methods,,,,TI(PPM),V(PPM): altern. values or methods,,,,CR(PPM): altern. values or methods,,,,CR52(PPM),CR53(PPM),MN(PPM),CO(PPM): altern. values or methods,,,,NI(PPM): altern. values or methods,,,,NI60(PPM),NI62(PPM),CU(PPM): altern. values or methods,,,,CU63(PPM),CU65(PPM),ZN(PPM): altern. values or methods,,,,ZN66(PPM),ZN67(PPM),GA(PPM): altern. values or methods,,,,GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM): altern. values or methods,,,,,,SR(PPM): altern. values or methods,,,,,,Y(PPM): altern. values or methods,,,,ZR(PPM): altern. values or methods,,,,NB(PPM): altern. values or methods,,,,MO(PPM),RU(PPB),RU(PPT),RH(PPB),RH(PPT),PD(PPB),PD(PPT),AG(PPM),AG(PPB),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),CS(PPM),BA(PPM): altern. values or methods,,,,LA(PPM): altern. values or methods,,,,CE(PPM): altern. values or methods,,,,PR(PPM),ND(PPM): altern. values or methods,,,,,,SM(PPM): altern. values or methods,,,,EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),RE(PPB),RE(PPT),OS(PPB),IR(PPB),IR(PPT),PT(PPB),PT(PPT),AU(PPM),AU(PPB),HG(PPM),HG(PPB),TL(PPM),PB(PPM): altern. values or methods,,,,PB206(PPM),BI(PPM),TH(PPM): altern. values or methods,,,,TH232(PPM),U(PPM): altern. values or methods,,,,U238(PPM),CO2(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB207_PB206,PB208_PB204,PB208_PB206,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,YB176_HF177,HE3_HE4(R/R(A)),HE4_NE20,AR36_AR39,AR37_AR39,AR38_AR39,AR40_AR36,AR40_AR39,PB206_U238,PB207_U235,PB208_TH232,RA226_U238,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_U238,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH232_ACT,D11B(PER MIL),D11B(VS NBS951),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),DD(VS SMOW),ALBITE(MOL%),AEGIRINE(MOL%),ANORTHITE(MOL%),CELSIAN(MOL%),DIOPSIDE(MOL%),ENSTATITE(MOL%),FAYALITE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),HEDENBERGITE(MOL%),JADEITE(MOL%),LARNITE(MOL%),ORTHOCLASE(MOL%),TEPHROITE(MOL%),TSCHERMAKITE(MOL%),ULVOSPINEL(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA): altern. values or methods,,,,,,,,AGE_PB207_PB206(MA),AGE_PB207_U235(MA),AGE_PB206_U238(MA)
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),PLAGIOCLASE,,PHENOCRYST,,PRIMARY,,,,,,,,,46.88,,,32.48,,,,0.8,,,,16.33,,,,,,,,,0.26,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,80.5,,,,,,,,,,1.6,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),PLAGIOCLASE,,PHENOCRYST,,PRIMARY,,,,,,,,,45.88,,,32.94,,,,0.85,,,,16.92,,,,,,,,,0.22,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,84.4,,,,,,,,,,1.3,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),SANIDINE,,PHENOCRYST,,PRIMARY,,,,,,,,,63.11,,,19.67,,,,0.46,,,,1.23,,,,,,,,,10.62,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,6,,,,,,,,,,62,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),PLAGIOCLASE,,PHENOCRYST,,PRIMARY,,,,,,,,,46.93,,,33.53,,,,0.75,,,,16.73,,,,,,,,,0.34,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,83,,,,,,,,,,2,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),PLAGIOCLASE,,PHENOCRYST,,PRIMARY,,,,,,,,,49.02,,,31.82,,,,0.72,,,,14.9,,,,,,,,,0.58,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,77.1,,,,,,,,,,2.7,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),PLAGIOCLASE,,MICROPHENOCRYST,,PRIMARY,,,,,,,,,49.38,,,31.65,,,,0.71,,,,14.74,,,,,,,,,0.56,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,74.3,,,,,,,,,,3.4,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),SANIDINE,,MICROPHENOCRYST,,PRIMARY,,,,,,,,,63.67,,,19.61,,,,0.39,,,,1.12,,,,,,,,,11.25,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,5.5,,,,,,,,,,66,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,PHENOCRYST,CORE,PRIMARY,,,,,,,,,37.17,3.57,,14.49,,,,,,11.23,,,17.18,0.09,,,,,,,9.14,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,PHENOCRYST,RIM,PRIMARY,,,,,,,,,36.38,4.62,,15.09,,,,,,12.17,,,16.19,0.07,,,,,,,9.01,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,MICROPHENOCRYST,,PRIMARY,,,,,,,,,36.25,6.09,,14.25,,,,,,12.56,,,15.69,,,,,,,,9.1,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,PHENOCRYST,,PRIMARY,,,,,,,,,37.31,5.99,,14.61,,,,,,12.91,,,15.28,0.13,,,,,,,9.53,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,MICROPHENOCRYST,,PRIMARY,,,,,,,,,37.38,5.47,,14.6,,,,,,13.96,,,15.08,0.14,,,,,,,9.4,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF22,145666,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),TITANO-MAGNETITE,,PHENOCRYST,,PRIMARY,,,,,,,,,0.1,9.05,,4.31,,,,,47.67,,35.11,,2.89,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,
1983, [8604] ARMIENTI P. (1983),samp. PF13,145664,APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION,,40.9,14.2,40.9,14.2,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,LAVA,,,QUATERNARY,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),TITANO-MAGNETITE,,PHENOCRYST,,PRIMARY,,,,,,,,,0.1,6.73,,4.17,,,,,52.38,,33.6,,2.49,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,
1979, [8613] STETTLER A. (1979),samp. S 98,,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL / CANTAL,"JOU, MONJOU",44.6,3,44.6,3,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,CENOZOIC,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1,TIMS_ID,,,,,226.5,TIMS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70552,,,2.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979, [8613] STETTLER A. (1979),samp. RT 2,,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL / CANTAL,HAUTE VALEE DE LA CERE,44.6,3,44.6,3,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,CENOZOIC,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,TIMS_ID,,,,,459,TIMS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70446,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979, [8613] STETTLER A. (1979),samp. RT 2,,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL / CANTAL,HAUTE VALEE DE LA CERE,44.6,3,44.6,3,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,CENOZOIC,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,TIMS_ID,,,,,89.3,TIMS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70583,,,10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979, [8613] STETTLER A. (1979),samp. RT 2,,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL / CANTAL,HAUTE VALEE DE LA CERE,44.6,3,44.6,3,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,CENOZOIC,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),BIOTITE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,TIMS_ID,,,,,47.6,TIMS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70702,,,22.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979, [8613] STETTLER A. (1979),samp. RT 2,,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / FRANCE / FRENCH MASSIF CENTRAL / CANTAL,HAUTE VALEE DE LA CERE,44.6,3,44.6,3,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,,,,CENOZOIC,,,,,MINERAL / COMPONENT (INCL. GROUNDMASS),PLAGIOCLASE,,,,PRIMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,TIMS_ID,,,,,179.8,TIMS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70453,,,0.3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003, [8770] ZHENG X. (2003),samp. 143-B/L,,SCOTIA ARC / SOUTH SHETLAND ISLANDS / LIVINGSTON ISLAND,HURD PENINSULA,-62.58,-60,-62.833,-60.5,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,LATITE,,DIKE,,,,,,,,WHOLE ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,1.922E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,K-AR,,,,,,,,,
