"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"rhyodacit","1972","[10724] BORSI S. (1972)","samp. T 69",NA,"ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","TUZLA AREA, BASILIKA E OF POLIKNITOS",39.7,26.2,39.7,26.2,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",70.47,0.5,14.35,0.98,0.21,5.35,4.03,0.18,1.55,2.20451,98.27451,"10724","[10724] BORSI S., FERRARA G., INNOCENTI F., MAZZUOLI R.:   GEOCHRONOLOGY AND PETROLOGY OF RECENT VOLCANICS IN THE EASTERN AEGEAN SEA (WEST ANATOLIA AND LESVOS ISLAND) |  BULL. VOLCANOL. 36    [1972]  473-496  | doi: 10.1007/BF02597122"
"rhyodacit","1972","[10724] BORSI S. (1972)","samp. T 45",NA,"ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","TUZLA AREA, BASILIKA E OF POLIKNITOS",39.7,26.2,39.7,26.2,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",71.14,0.46,14.7,0.8,0.29,5.65,3.78,0.07,1.62,1.612686,98.502686,"10724","[10724] BORSI S., FERRARA G., INNOCENTI F., MAZZUOLI R.:   GEOCHRONOLOGY AND PETROLOGY OF RECENT VOLCANICS IN THE EASTERN AEGEAN SEA (WEST ANATOLIA AND LESVOS ISLAND) |  BULL. VOLCANOL. 36    [1972]  473-496  | doi: 10.1007/BF02597122"
"rhyodacit","1998","[10747] KÜRKCÜOGLU B. (1998)","samp. ERC95-90",NA,"ANATOLIA-IRAN BELT / TURKEY / CENTRAL ANATOLIAN VOLCANIC BELT / ERCIYES",NA,38.53,35.45,38.53,35.45,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","QUATERNARY",NA,"WHOLE ROCK",70.55,0.36,15.34,3.23,0.79,2.83,3.92,0.09,NA,2.537436,99.647436,"10747","[10747] KÜRKCÜOGLU B., SEN E., AYDAR E., GOURGAUD A., GÜNDOGDU M. N.:   GEOCHEMICAL APPROACH TO MAGMATIC EVOLUTION OF MR. ERCIYES STRATOVOLCANO CENTRAL ANATOLIA, TURKEY |  J. VOLCANOL. GEOTHERM. RES. 85    [1998]  473-494  | doi: 10.1016/S0377-0273(98)00067-5"
"rhyodacit","1998","[10747] KÜRKCÜOGLU B. (1998)","samp. ERC91-28",200421,"ANATOLIA-IRAN BELT / TURKEY / CENTRAL ANATOLIAN VOLCANIC BELT / ERCIYES",NA,38.53,35.45,38.53,35.45,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","QUATERNARY",NA,"WHOLE ROCK",70.5,0.37,15.2,3.21,0.96,2.79,4,0.11,NA,2.528438,99.668438,"10747","[10747] KÜRKCÜOGLU B., SEN E., AYDAR E., GOURGAUD A., GÜNDOGDU M. N.:   GEOCHEMICAL APPROACH TO MAGMATIC EVOLUTION OF MR. ERCIYES STRATOVOLCANO CENTRAL ANATOLIA, TURKEY |  J. VOLCANOL. GEOTHERM. RES. 85    [1998]  473-494  | doi: 10.1016/S0377-0273(98)00067-5"
"rhyodacit","1972","[10858] INNOCENTI F. (1972)","samp. K59",202644,"ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","S BARBAROS",40.9,27.5,40.9,27.5,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",65.87,0.5,16.14,3.54,0.96,4.72,2.99,0.21,2.29,2.537636,97.467636,"10858","[10858] INNOCENTI F., MAZZUOLI R.:   PETROLOGY OF THE IZMIR-KARABURUN VOLCANIC AREA (WEST TURKEY) |  BULL. VOLCANOL. 36    [1972]  83-104  | doi: 10.1007/BF02596983"
"rhyodacit","1972","[10858] INNOCENTI F. (1972)","samp. K 58",202643,"ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT","NE BARBAROS",40.9,27.5,40.9,27.5,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",65.45,0.51,16.55,3.53,0.99,4.28,3.56,0.16,2.05,2.562686,97.592686,"10858","[10858] INNOCENTI F., MAZZUOLI R.:   PETROLOGY OF THE IZMIR-KARABURUN VOLCANIC AREA (WEST TURKEY) |  BULL. VOLCANOL. 36    [1972]  83-104  | doi: 10.1007/BF02596983"
"comendite","1972","[10893] MCCALL G. J. H. (1972)","samp. 56237",NA,"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / NORTHERN KENYA RIFT / SILALI","LOKITET",1.15,36.23,1.15,36.23,"SUBAERIAL","VOLCANIC ROCK","COMENDITIC RHYOLITE","QUATERNARY",NA,"WHOLE ROCK",66.9,0.64,13,0.33,0.18,5.3,3.7,0.12,NA,7.940284,98.110284,"10893","[10893] MCCALL G. J. H., HORNUNG G.:   A GEOCHEMICAL STUDY OF SILALI VOLCANO, KENYA, WITH SPECIAL REFERENCE TO THE ORIGIN OF THE INTERMEDIATE-ACID ERUPTIVES OF THE CENTRAL RIFT VALLEY |  TECTONOPHYSICS 15    [1972]  97-113  | doi: 10.1016/0040-1951(72)90055-8"
"comendite","1972","[10893] MCCALL G. J. H. (1972)","samp. 56241",NA,"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / NORTHERN KENYA RIFT / SILALI","LOKITET",1.15,36.23,1.15,36.23,"SUBAERIAL","VOLCANIC ROCK","COMENDITIC RHYOLITE","QUATERNARY",NA,"WHOLE ROCK",67.9,0.61,13.1,0.5,0.25,4.83,2.87,0.66,NA,7.567318,98.287318,"10893","[10893] MCCALL G. J. H., HORNUNG G.:   A GEOCHEMICAL STUDY OF SILALI VOLCANO, KENYA, WITH SPECIAL REFERENCE TO THE ORIGIN OF THE INTERMEDIATE-ACID ERUPTIVES OF THE CENTRAL RIFT VALLEY |  TECTONOPHYSICS 15    [1972]  97-113  | doi: 10.1016/0040-1951(72)90055-8"
"rhyodacit","1985","[11001] THOMPSON R. A. (1985)","samp. HM-40",NA,"NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / HANDKERCHIEF MESA COMPLEX",NA,37.4,-106.5,37.6,-106.75,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","CENOZOIC",NA,"WHOLE ROCK",68.62,0.54,16.4,1.87,0.57,5.46,4.44,0.17,NA,2.888358,100.958358,"11001","[11001] THOMPSON R. A., DUNGAN M. A.:   THE PETROLOGY AND GEOCHEMISTRY OF THE HANDKERCHIEF MESA MIXED MAGMA COMPLEX, SAN JUAN MOUNTAINS, COLORADO |  J. VOLCANOL. GEOTHERM. RES. 26    [1985]  251-274  | doi: 10.1016/0377-0273(85)90059-9"
"rhyodacit","1985","[11001] THOMPSON R. A. (1985)","samp. HM-39",NA,"NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / HANDKERCHIEF MESA COMPLEX",NA,37.4,-106.5,37.6,-106.75,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","CENOZOIC",NA,"WHOLE ROCK",68.58,0.46,15.87,1.55,0.4,5.52,4.77,0.14,NA,2.555432,99.845432,"11001","[11001] THOMPSON R. A., DUNGAN M. A.:   THE PETROLOGY AND GEOCHEMISTRY OF THE HANDKERCHIEF MESA MIXED MAGMA COMPLEX, SAN JUAN MOUNTAINS, COLORADO |  J. VOLCANOL. GEOTHERM. RES. 26    [1985]  251-274  | doi: 10.1016/0377-0273(85)90059-9"
"rhyodacit","1985","[11001] THOMPSON R. A. (1985)","samp. HM-48",NA,"NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / HANDKERCHIEF MESA COMPLEX",NA,37.4,-106.5,37.6,-106.75,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","CENOZOIC",NA,"WHOLE ROCK",67.42,0.55,15.32,1.92,0.83,5.12,4.19,0.14,NA,3.185292,98.675292,"11001","[11001] THOMPSON R. A., DUNGAN M. A.:   THE PETROLOGY AND GEOCHEMISTRY OF THE HANDKERCHIEF MESA MIXED MAGMA COMPLEX, SAN JUAN MOUNTAINS, COLORADO |  J. VOLCANOL. GEOTHERM. RES. 26    [1985]  251-274  | doi: 10.1016/0377-0273(85)90059-9"
"rhyodacit","1985","[11001] THOMPSON R. A. (1985)","samp. HM-44",NA,"NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CORDILLERA UNITED STATES / COLORADO / SAN JUAN VOLCANIC FIELD / HANDKERCHIEF MESA COMPLEX",NA,37.4,-106.5,37.6,-106.75,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","CENOZOIC",NA,"WHOLE ROCK",67.66,0.45,16.13,1.42,0.39,5.5,4.58,0.12,NA,2.51944,98.76944,"11001","[11001] THOMPSON R. A., DUNGAN M. A.:   THE PETROLOGY AND GEOCHEMISTRY OF THE HANDKERCHIEF MESA MIXED MAGMA COMPLEX, SAN JUAN MOUNTAINS, COLORADO |  J. VOLCANOL. GEOTHERM. RES. 26    [1985]  251-274  | doi: 10.1016/0377-0273(85)90059-9"
"rhyodacit","1984","[11042] STEPHENSON D. (1984)","samp. 10193",NA,"SUNDA ARC / ANDAMAN ARC / BURMA (MYANMAR) / MOUNT POPA","NORTHERN END OF PEGU YOMA HILL RANGE",20.92,95.25,20.92,95.25,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","CENOZOIC",NA,"WHOLE ROCK",64.44,0.12,15.16,3.94,2.41,2.79,4.61,0.09,1.91,3.590522,97.150522,"11042","[11042] STEPHENSON D., MARSHALL T. R.:   THE PETROLOGY AND MINERALOGY OF MT. POPA VOLCANO AND THE NATURE OF THE LATE-CENOZOIC BURMA VOLCANIC ARC |  J. GEOL. SOC. LONDON 141    [1984]  747-762  | doi: 10.1144/gsjgs.141.4.0747"
"rhyodacit","1984","[11042] STEPHENSON D. (1984)","samp. 70051",NA,"SUNDA ARC / ANDAMAN ARC / BURMA (MYANMAR) / MOUNT POPA","NORTHERN END OF PEGU YOMA HILL RANGE",20.92,95.25,20.92,95.25,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE","CENOZOIC",NA,"WHOLE ROCK",64.4,0.01,17.85,3.86,1.05,3.64,3.78,0.2,2.37,2.875532,97.665532,"11042","[11042] STEPHENSON D., MARSHALL T. R.:   THE PETROLOGY AND MINERALOGY OF MT. POPA VOLCANO AND THE NATURE OF THE LATE-CENOZOIC BURMA VOLCANIC ARC |  J. GEOL. SOC. LONDON 141    [1984]  747-762  | doi: 10.1144/gsjgs.141.4.0747"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/5",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / UTURUNCU",NA,-22.25,-67.23,-22.25,-67.23,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",65.21,0.98,16.01,3.65,1.56,4.29,2.33,0.28,NA,3.973568,98.283568,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/7",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA","NORTHERN PART OF LAGUNA COLORADA",-22.15,-67.8,-22.15,-67.8,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",63.02,0.92,16.66,5.09,2.27,3.24,2.79,0.17,NA,5.117556,99.277556,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/11",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA","QUEBRADA HONDO, HOJA LAGUNA COLORADA",-22.02,-67.55,-22.02,-67.55,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",65.41,0.85,15.16,3.45,1.8,3.89,2.15,0.19,NA,4.700142,97.600142,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/12",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / SAN ANTONIO","HOJA QUETENA",-22.17,-67.22,-22.17,-67.22,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",67.76,0.48,15.51,2.23,0.91,3.71,3.16,0.17,NA,3.356654,97.286654,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/13",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / SAN ANTONIO","HOJA QUETENA",-22.15,-67.23,-22.15,-67.23,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",68.01,0.43,15.43,2.32,0.96,4.34,3.13,0.18,NA,3.445632,98.245632,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/14",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA","POTRERO, HOJA QUETENA",-22.03,-67.03,-22.03,-67.03,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",67.31,0.5,16.13,2.27,1.24,4.07,3.1,0.18,NA,3.203568,98.003568,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/15",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / MORIJON","HOJA QUETENA",-22.05,-67.02,-22.05,-67.02,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",65.05,1.05,15.48,3.15,1.69,4.01,2.06,0.31,NA,5.022746,97.822746,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/18",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA","CERRO MOROQUITO, HOJA LAGUNA ARENAL",-22.3,-66.98,-22.3,-66.98,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",65.31,0.79,15.54,3.52,1.31,3.93,2.4,0.23,NA,5.542446,98.572446,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/19",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA","VICUNA HUASI, HOJA LAGUNA ARENAL",-22.23,-66.73,-22.23,-66.73,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",63.85,0.77,16,3.45,1.96,3.8,2,0.32,NA,5.537496,97.687496,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
"rhyodacit","1973","[11167] FERNANDEZ A. (1973)","samp. 1/20",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / ESMORACA FORMATION","ROAD GUADELUPE - MINA BOLIVAR",-21.97,-66.52,-21.97,-66.52,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE, BIOTITE",NA,NA,"WHOLE ROCK",66.6,0.7,15.59,3.07,0.91,4.74,2.74,0.24,NA,4.071164,98.661164,"11167","[11167] FERNANDEZ A., HÖRMANN P. K., KUSSMAUL S., MEAVE J., PICHLER H., SUBIETA T.:   FIRST PETROLOGIC DATA ON YOUNG VOLCANIC ROCKS OF SW BOLIVIA |  TSCHERMAKS MINERAL. PETROGR. MITT. 19    [1973]  149-172  | doi: 10.1007/BF01167425"
