"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"latit","1981","[8443] ARMIENTI P. (1981)","samp. PF13",145664,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / CAMPI FLEGREI (PHLEGRAEAN FIELDS) / BRECCIA MUSEO FORMATION",NA,40.9,14.2,40.9,14.2,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",56.96,0.77,19.04,5.45,1.87,7.01,3.28,0.44,0.49,4.315412,99.135412,"8443","[8443] ARMIENTI P.:   EVOLUTION OF THE POTASSIC SERIES OF CAMPI FLEGREI: PETROLOGICAL STUDIES IF IGNEOUS INCLUSIONS IN THE LAVAS |  ATTI SOC. TOSC. SCI. NAT. MEM. SER. A 88    [1981]  83-116"
"latit","1995","[8802] VON BIEDERSEE H. (1995)","samp. 6",NA,"LUZON ARC / LUZON ARC / NEGROS / CANLAON","STRATOVOLCANO, MALAYBA WATERFALL",10.5,122.98,10.5,122.98,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",60,0.6,16.5,5.6,2.6,3.4,3.5,0.4,NA,5.57956,98.17956,"8802","[8802] VON BIEDERSEE H., PICHLER H.:   THE CANLAON AND ITS NEIGHBOURING VOLCANOES IN THE NEGROS BELT/PHILIPPINES |  J. SOUTHEAST ASIAN EARTH SCIENCES 11    [1995]  111-123  | doi: 10.1016/0743-9547(94)00042-D"
"latit","1995","[8802] VON BIEDERSEE H. (1995)","samp. 39",NA,"LUZON ARC / LUZON ARC / NEGROS / CANLAON","STRATOVOLCANO, KANLAON NATIONAL PARK",10.5,122.98,10.5,122.98,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.5,0.7,17.1,6.8,3.1,2.9,3.4,0.5,NA,6.51924,98.51924,"8802","[8802] VON BIEDERSEE H., PICHLER H.:   THE CANLAON AND ITS NEIGHBOURING VOLCANOES IN THE NEGROS BELT/PHILIPPINES |  J. SOUTHEAST ASIAN EARTH SCIENCES 11    [1995]  111-123  | doi: 10.1016/0743-9547(94)00042-D"
"latit","1995","[8802] VON BIEDERSEE H. (1995)","samp. 65",NA,"LUZON ARC / LUZON ARC / NEGROS / CUERNOS DE NEGROS","W OF CAIDIOCAN, NEAR THE GEOTHERMAL PIPELINES AND THE TRIBUTARY OF THE OKOY",9.32,123.18,9.32,123.18,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57,0.5,17.9,6.5,2.1,2.3,3.7,0.2,NA,5.46914,95.66914,"8802","[8802] VON BIEDERSEE H., PICHLER H.:   THE CANLAON AND ITS NEIGHBOURING VOLCANOES IN THE NEGROS BELT/PHILIPPINES |  J. SOUTHEAST ASIAN EARTH SCIENCES 11    [1995]  111-123  | doi: 10.1016/0743-9547(94)00042-D"
"latit","1995","[8802] VON BIEDERSEE H. (1995)","samp. 74",NA,"LUZON ARC / LUZON ARC / NEGROS / CUERNOS DE NEGROS","SW OF VALENCIA AT THE TELEGRAPH OF THE CURRENT TRANSFORMER",9.28,123.23,9.28,123.23,"SUBAERIAL","VOLCANIC ROCK","LATITE",NA,NA,"WHOLE ROCK",57.6,0.6,17.1,6.7,2.2,2.5,3.8,0.2,NA,5.61924,96.31924,"8802","[8802] VON BIEDERSEE H., PICHLER H.:   THE CANLAON AND ITS NEIGHBOURING VOLCANOES IN THE NEGROS BELT/PHILIPPINES |  J. SOUTHEAST ASIAN EARTH SCIENCES 11    [1995]  111-123  | doi: 10.1016/0743-9547(94)00042-D"
"latit","1969","[8850] TRIGILA R. (1969)","samp. A",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / LATERA (VULSINI VOLCANIC DISTRICT)","MONTE CALVO, LATERA",42.63,11.83,42.63,11.83,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",55,1.01,17.56,6.23,2.34,6.36,2.09,0.38,NA,7.713128,98.683128,"8850","[8850] TRIGILA R.:   ON THE GENESIS OF MAGMA WITH MEDITERRANEAN CHARACTER NOTA I |  PER. MINERAL. 38    [1969]  625-660"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 25",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","BOTTOM OF CENTRAL CALDERA WALL",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",51.53,1.01,19.12,7.2,3.62,5.82,2.7,0.64,0.57,7.345392,98.985392,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 166",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","BOTTOM OF LAGNO AMENDOLARE QUARRY, N SLOPES OF M. SOMMA",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",51.78,1.03,18.32,7.22,3.58,4.58,3.43,0.55,1.21,7.783208,98.273208,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 168",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","BOTTOM OF LAGNO AMENDOLARE QUARRY, N SLOPES OF M. SOMMA",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",52.81,0.9,19.3,6.67,3.47,4.64,3.66,0.64,1,6.516454,98.606454,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
"latit","1987","[8857] JORON J.-L. (1987)","samp. 247",NA,"APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","BOTTOM OF TRAPOLINO QUARRY, N SLOPES OF M. SOMMA",40.821,14.426,40.821,14.426,"SUBAERIAL","VOLCANIC ROCK","LATITE","PLEISTOCENE",NA,"WHOLE ROCK",52.69,1.01,18.83,6.98,3.3,4.63,3.6,0.64,1.03,6.910462,98.590462,"8857","[8857] JORON J.-L., METRICH N., ROSI M., SANTACROCE R., SBRANA A.:   CHEMISTRY AND PETROGRAPHY |    SANTACROCE, R. (ED.) | SOMMA VESUVIUS | CNR, QUADERNI DE LA RICERCA SCIENTIFICA, ROMA 114 NO. 8  [1987]  105-174"
