"SOURCE","Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","GEOLOGICAL AGE","ERUPTION YEAR","TYPE OF MATERIAL","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CAO(WT%)","MGO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","sum_fe","Sum Oxides","CITATION_ID","References"
"dacit","2021","[24624] BINDEMAN I. N. (2021)","samp. ELB-19",NA,"ANATOLIA-IRAN BELT / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / TYRNYAUZ",NA,42.4607,43.2904,42.4607,43.2904,"SUBAERIAL","VOLCANIC ROCK","DACITE","PLIOCENE-PLEISTOCENE",NA,"WHOLE ROCK",65.297,0.704,15.367,3.419,1.684,2.827,4.344,0.236,NA,3.4750276,97.3530276,"24624","[24624] BINDEMAN I. N., COLON D. P., WOTZLAW J.-F., STERN R., CHIARADIA M., GUILLONG M.:   YOUNG SILICIC MAGMATISM OF THE GREATER CAUCASUS, RUSSIA, WITH IMPLICATION FOR ITS DELAMINATION ORIGIN BASED ON ZIRCON PETROCHRONOLOGY AND THERMOMECHANICAL MODELING |  J. VOLCANOL. GEOTHERM. RES. 412 (107173)   [2021]   | doi: 10.1016/j.jvolgeores.2021.107173"
"dacit","1985","[2465] FODOR R. V. (1985)","samp. RS30",27985,"PARANA / SOUTHERN PARANA PROVINCE","NEAR PORT ALEGRE",-27,-50,-30,-53,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",66.55,1.06,13.64,2.79,1.45,3.9,3.09,0.25,NA,5.84,98.57,"2465","[2465] FODOR R. V., CORWIN C., ROISENBERG A.:   PETROLOGY OF SERRA GERAL (PARANÁ) CONTINENTAL FLOOD BASALTS, SOUTHERN BRAZIL: CRUSTAL CONTAMINATION, SOURCE MATERIAL, AND SOUTH ATLANTIC MAGMATISM |  CONTRIB. MINERAL. PETROL. 91    [1985]  54-65  | doi: 10.1007/BF00429427"
"dacit","1985","[2465] FODOR R. V. (1985)","samp. RS65",27991,"PARANA / SOUTHERN PARANA PROVINCE","NEAR PORT ALEGRE",-27,-50,-30,-53,"SUBAERIAL","VOLCANIC ROCK","RHYODACITE",NA,NA,"WHOLE ROCK",62.69,1.32,13.58,4.57,2.42,3.48,2.38,0.23,NA,8.35,99.02,"2465","[2465] FODOR R. V., CORWIN C., ROISENBERG A.:   PETROLOGY OF SERRA GERAL (PARANÁ) CONTINENTAL FLOOD BASALTS, SOUTHERN BRAZIL: CRUSTAL CONTAMINATION, SOURCE MATERIAL, AND SOUTH ATLANTIC MAGMATISM |  CONTRIB. MINERAL. PETROL. 91    [1985]  54-65  | doi: 10.1007/BF00429427"
"dacit","1997","[2475] KEPEZHINSKAS P. K. (1997)","samp. G-578",28294,"KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / GORELY","CALDERA STAGE, EASTERN VOLCANIC FRONT",52.45,158.12,52.45,158.12,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",63.6,1.02,15,3.94,1.76,3.03,4.26,0.32,NA,5.857698,98.787698,"2475","[2475] KEPEZHINSKAS P. K., MCDERMOTT F., DEFANT M. J., HOCHSTAEDTER A. G., DRUMMOND M. S., HAWKESWORTH C. J., KOLOSKOV A. V., MAURY R. C., BELLON H.:   TRACE ELEMENT AND SR-ND-PB ISOTOPIC CONSTRAINTS ON A THREE-COMPONENT MODEL OF KAMCHATKA ARC PETROGENESIS |  GEOCHIM. COSMOCHIM. ACTA 61    [1997]  577-600  | doi: 10.1016/S0016-7037(96)00349-3"
"dacit","1993","[2480] GILL J. B. (1993)","samp. PNG05",NA,"BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW BRITAIN / RABAUL",NA,-4.22,152.18,-4.22,152.18,"SUBAERIAL","VOLCANIC ROCK","DACITE","HOLOCENE","1937","WHOLE ROCK",62.35,0.92,15.57,4.7,1.64,2.63,4.43,0.35,NA,5.929682,98.519682,"2480","[2480] GILL J. B., MORRIS J. D., JOHNSON R. W.:   TIMESCALE FOR PRODUCING THE GEOCHEMICAL SIGNATURE OF ISLAND ARC MAGMAS: U-TH-PO AND BE-B SYSTEMATICS IN RECENT PAPUA NEW GUINEA LAVAS |  GEOCHIM. COSMOCHIM. ACTA 57    [1993]  4269-4283  | doi: 10.1016/0016-7037(93)90322-N"
"dacit","1996","[2481] HOCHSTAEDTER A. G. (1996)","samp. P25-2/87",NA,"KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / MUTNOVSKY","EASTERN VOLCANIC FRONT",52.35,158.27,52.35,158.27,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",63.4,0.67,16.8,5.05,2.45,1.58,3.9,0.18,NA,4.022106,98.052106,"2481","[2481] HOCHSTAEDTER A. G., KEPEZHINSKAS P. K., DEFANT M. J.:   INSIGHTS INTO THE VOLCANIC ARC MANTLE WEDGE FROM MAGNESIAN LAVAS FROM THE KAMCHATKA ARC |  J. GEOPHYS. RES. B101    [1996]  697-712  | doi: 10.1029/95JB02404"
"dacit","1996","[2481] HOCHSTAEDTER A. G. (1996)","samp. G-578",28294,"KAMCHATKA ARC / KAMCHATKA ARC / SOUTHERN KAMCHATKA SEGMENT / GORELY","CALDERA STAGE, EASTERN VOLCANIC FRONT",52.45,158.12,52.45,158.12,"SUBAERIAL","VOLCANIC ROCK","DACITE, HORNBLENDE-PLAGIOCLASE",NA,NA,"WHOLE ROCK",63.6,1.02,15,3.94,1.76,3.03,4.26,0.32,NA,5.857698,98.787698,"2481","[2481] HOCHSTAEDTER A. G., KEPEZHINSKAS P. K., DEFANT M. J.:   INSIGHTS INTO THE VOLCANIC ARC MANTLE WEDGE FROM MAGNESIAN LAVAS FROM THE KAMCHATKA ARC |  J. GEOPHYS. RES. B101    [1996]  697-712  | doi: 10.1029/95JB02404"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-12-24A",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",63.2,0.7,15.5,4.3,2,3,4.1,0.2,NA,4.40902,97.40902,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-12-25A",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",64,0.7,15.3,4.1,1.8,3,4.1,0.2,NA,4.22906,97.42906,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-13-06B",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",66,0.6,15.5,3.6,1.5,3.5,4,0.3,NA,3.77916,98.77916,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-13-07",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",63.1,0.7,15.5,3.9,1.9,3.3,3.7,0.3,NA,3.95912,96.35912,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-12-64B",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",66.1,0.6,15.5,3.6,1.3,3.3,4.2,0.3,NA,3.23928,98.13928,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-13-33F",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",67,0.5,14.4,2.8,1.4,4.3,3.2,0.2,NA,2.78938,96.58938,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
"dacit","2021","[24931] MARINO J. (2021)","samp. TU-13-36F",NA,"ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / PERU / TUTUPACA",NA,-17.1,-70.4,-17.1,-70.4,"SUBAERIAL","VOLCANIC ROCK","DACITE",NA,NA,"WHOLE ROCK",64,0.5,14.3,2.9,1.4,3.7,3.7,0.2,NA,3.1493,93.8493,"24931","[24931] MARINO J., SAMANIEGO P., MANRIQUE N., VALDERRAMA P., ROCHE O., VAN WYK DE VRIES B., GUILLOU H., ZERATHE S., ARIAS C., LIORZOU C.:   THE TUTUPACA VOLCANIC COMPLEX (SOUTHERN PERU): ERUPTIVE CHRONOLOGY AND SUCCESSIVE DESTABILIZATION OF A DACITIC DOME COMPLEX |  J. S. AMER. EARTH SCI. 109 (103227)   [2021]   | doi: 10.1016/j.jsames.2021.103227"
